current seq_region name,new seq_region name,INSDC accession,Notes
1,AaegL5_1,CM008043,
2,AaegL5_2,CM008044,
3,AaegL5_3,CM008045,
MT,AaegL5_MT,MF194022,
NIGP01001877,NIGP01001877,NIGP01001877,
NIGP01002089,NIGP01002089,NIGP01002089,
NIGP01002231,NIGP01002231,NIGP01002231,
NIGP01000727,NIGP01000727,NIGP01000727,
NIGP01001771,NIGP01001771,NIGP01001771,
NIGP01000819,NIGP01000819,NIGP01000819,
NIGP01000475,NIGP01000475,NIGP01000475,
NIGP01002221,NIGP01002221,NIGP01002221,
NIGP01001492,NIGP01001492,NIGP01001492,
NIGP01000892,NIGP01000892,NIGP01000892,
NIGP01000201,NIGP01000201,NIGP01000201,
NIGP01001727,NIGP01001727,NIGP01001727,
NIGP01001982,NIGP01001982,NIGP01001982,
NIGP01000101,NIGP01000101,NIGP01000101,
NIGP01000470,NIGP01000470,NIGP01000470,
NIGP01002078,NIGP01002078,NIGP01002078,
NIGP01001086,NIGP01001086,NIGP01001086,
NIGP01002082,NIGP01002082,NIGP01002082,
NIGP01000968,NIGP01000968,NIGP01000968,
NIGP01002045,NIGP01002045,NIGP01002045,
NIGP01002203,NIGP01002203,NIGP01002203,
NIGP01000451,NIGP01000451,NIGP01000451,
NIGP01000495,NIGP01000495,NIGP01000495,
NIGP01000268,NIGP01000268,NIGP01000268,
NIGP01002020,NIGP01002020,NIGP01002020,
NIGP01001844,NIGP01001844,NIGP01001844,
NIGP01001080,NIGP01001080,NIGP01001080,
NIGP01002286,NIGP01002286,NIGP01002286,
NIGP01002127,NIGP01002127,NIGP01002127,
NIGP01000184,NIGP01000184,NIGP01000184,
NIGP01000944,NIGP01000944,NIGP01000944,
NIGP01000304,NIGP01000304,NIGP01000304,
NIGP01000130,NIGP01000130,NIGP01000130,
NIGP01000154,NIGP01000154,NIGP01000154,
NIGP01001935,NIGP01001935,NIGP01001935,
NIGP01000647,NIGP01000647,NIGP01000647,
NIGP01002035,NIGP01002035,NIGP01002035,
NIGP01001914,NIGP01001914,NIGP01001914,
NIGP01001774,NIGP01001774,NIGP01001774,
NIGP01000838,NIGP01000838,NIGP01000838,
NIGP01000058,NIGP01000058,NIGP01000058,
NIGP01000662,NIGP01000662,NIGP01000662,
NIGP01000976,NIGP01000976,NIGP01000976,
NIGP01000253,NIGP01000253,NIGP01000253,
NIGP01001725,NIGP01001725,NIGP01001725,
NIGP01001770,NIGP01001770,NIGP01001770,
NIGP01000416,NIGP01000416,NIGP01000416,
NIGP01001671,NIGP01001671,NIGP01001671,
NIGP01001808,NIGP01001808,NIGP01001808,
NIGP01001642,NIGP01001642,NIGP01001642,
NIGP01001712,NIGP01001712,NIGP01001712,
NIGP01002113,NIGP01002113,NIGP01002113,
NIGP01001514,NIGP01001514,NIGP01001514,
NIGP01000379,NIGP01000379,NIGP01000379,
NIGP01000036,NIGP01000036,NIGP01000036,
NIGP01001224,NIGP01001224,NIGP01001224,
NIGP01002034,NIGP01002034,NIGP01002034,
NIGP01000552,NIGP01000552,NIGP01000552,
NIGP01000226,NIGP01000226,NIGP01000226,
NIGP01000094,NIGP01000094,NIGP01000094,
NIGP01001837,NIGP01001837,NIGP01001837,
NIGP01001856,NIGP01001856,NIGP01001856,
NIGP01001551,NIGP01001551,NIGP01001551,
NIGP01001579,NIGP01001579,NIGP01001579,
NIGP01000525,NIGP01000525,NIGP01000525,
NIGP01002215,NIGP01002215,NIGP01002215,
NIGP01001678,NIGP01001678,NIGP01001678,
NIGP01001744,NIGP01001744,NIGP01001744,
NIGP01000638,NIGP01000638,NIGP01000638,
NIGP01001599,NIGP01001599,NIGP01001599,
NIGP01000106,NIGP01000106,NIGP01000106,
NIGP01001294,NIGP01001294,NIGP01001294,
NIGP01002178,NIGP01002178,NIGP01002178,
NIGP01000256,NIGP01000256,NIGP01000256,
NIGP01000283,NIGP01000283,NIGP01000283,
NIGP01001031,NIGP01001031,NIGP01001031,
NIGP01002155,NIGP01002155,NIGP01002155,
NIGP01000077,NIGP01000077,NIGP01000077,
NIGP01001793,NIGP01001793,NIGP01001793,
NIGP01000371,NIGP01000371,NIGP01000371,
NIGP01000988,NIGP01000988,NIGP01000988,
NIGP01000658,NIGP01000658,NIGP01000658,
NIGP01001524,NIGP01001524,NIGP01001524,
NIGP01001480,NIGP01001480,NIGP01001480,
NIGP01000767,NIGP01000767,NIGP01000767,
NIGP01000848,NIGP01000848,NIGP01000848,
NIGP01001874,NIGP01001874,NIGP01001874,
NIGP01000415,NIGP01000415,NIGP01000415,
NIGP01000180,NIGP01000180,NIGP01000180,
NIGP01001039,NIGP01001039,NIGP01001039,
NIGP01000675,NIGP01000675,NIGP01000675,
NIGP01000110,NIGP01000110,NIGP01000110,
NIGP01000242,NIGP01000242,NIGP01000242,
NIGP01001503,NIGP01001503,NIGP01001503,
NIGP01001976,NIGP01001976,NIGP01001976,
NIGP01000537,NIGP01000537,NIGP01000537,
NIGP01000565,NIGP01000565,NIGP01000565,
NIGP01001447,NIGP01001447,NIGP01001447,
NIGP01000807,NIGP01000807,NIGP01000807,
NIGP01002168,NIGP01002168,NIGP01002168,
NIGP01000593,NIGP01000593,NIGP01000593,
NIGP01000482,NIGP01000482,NIGP01000482,
NIGP01002289,NIGP01002289,NIGP01002289,
NIGP01000751,NIGP01000751,NIGP01000751,
NIGP01001945,NIGP01001945,NIGP01001945,
NIGP01000574,NIGP01000574,NIGP01000574,
NIGP01002209,NIGP01002209,NIGP01002209,
NIGP01001759,NIGP01001759,NIGP01001759,
NIGP01000402,NIGP01000402,NIGP01000402,
NIGP01000198,NIGP01000198,NIGP01000198,
NIGP01000432,NIGP01000432,NIGP01000432,
NIGP01000292,NIGP01000292,NIGP01000292,
NIGP01002029,NIGP01002029,NIGP01002029,
NIGP01000294,NIGP01000294,NIGP01000294,
NIGP01000909,NIGP01000909,NIGP01000909,
NIGP01000139,NIGP01000139,NIGP01000139,
NIGP01000282,NIGP01000282,NIGP01000282,
NIGP01000460,NIGP01000460,NIGP01000460,
NIGP01001786,NIGP01001786,NIGP01001786,
NIGP01000376,NIGP01000376,NIGP01000376,
NIGP01001698,NIGP01001698,NIGP01001698,
NIGP01001206,NIGP01001206,NIGP01001206,
NIGP01002240,NIGP01002240,NIGP01002240,
NIGP01001030,NIGP01001030,NIGP01001030,
NIGP01001414,NIGP01001414,NIGP01001414,
NIGP01001750,NIGP01001750,NIGP01001750,
NIGP01002188,NIGP01002188,NIGP01002188,
NIGP01000072,NIGP01000072,NIGP01000072,
NIGP01000080,NIGP01000080,NIGP01000080,
NIGP01002269,NIGP01002269,NIGP01002269,
NIGP01000033,NIGP01000033,NIGP01000033,
NIGP01000160,NIGP01000160,NIGP01000160,
NIGP01001661,NIGP01001661,NIGP01001661,
NIGP01002234,NIGP01002234,NIGP01002234,
NIGP01000602,NIGP01000602,NIGP01000602,
NIGP01000761,NIGP01000761,NIGP01000761,
NIGP01000063,NIGP01000063,NIGP01000063,
NIGP01002251,NIGP01002251,NIGP01002251,
NIGP01002176,NIGP01002176,NIGP01002176,
NIGP01001852,NIGP01001852,NIGP01001852,
NIGP01000140,NIGP01000140,NIGP01000140,
NIGP01000433,NIGP01000433,NIGP01000433,
NIGP01000034,NIGP01000034,NIGP01000034,
NIGP01000159,NIGP01000159,NIGP01000159,
NIGP01000575,NIGP01000575,NIGP01000575,
NIGP01002300,NIGP01002300,NIGP01002300,
NIGP01001458,NIGP01001458,NIGP01001458,
NIGP01001507,NIGP01001507,NIGP01001507,
NIGP01000182,NIGP01000182,NIGP01000182,
NIGP01000941,NIGP01000941,NIGP01000941,
NIGP01000188,NIGP01000188,NIGP01000188,
NIGP01002297,NIGP01002297,NIGP01002297,
NIGP01000697,NIGP01000697,NIGP01000697,
NIGP01000629,NIGP01000629,NIGP01000629,
NIGP01001062,NIGP01001062,NIGP01001062,
NIGP01001508,NIGP01001508,NIGP01001508,
NIGP01002230,NIGP01002230,NIGP01002230,
NIGP01000197,NIGP01000197,NIGP01000197,
NIGP01000266,NIGP01000266,NIGP01000266,
NIGP01000699,NIGP01000699,NIGP01000699,
NIGP01000541,NIGP01000541,NIGP01000541,
NIGP01001755,NIGP01001755,NIGP01001755,
NIGP01001696,NIGP01001696,NIGP01001696,
NIGP01000656,NIGP01000656,NIGP01000656,
NIGP01000563,NIGP01000563,NIGP01000563,
NIGP01000888,NIGP01000888,NIGP01000888,
NIGP01000327,NIGP01000327,NIGP01000327,
NIGP01001988,NIGP01001988,NIGP01001988,
NIGP01001641,NIGP01001641,NIGP01001641,
NIGP01001846,NIGP01001846,NIGP01001846,
NIGP01001908,NIGP01001908,NIGP01001908,
NIGP01000986,NIGP01000986,NIGP01000986,
NIGP01001769,NIGP01001769,NIGP01001769,
NIGP01000440,NIGP01000440,NIGP01000440,
NIGP01002046,NIGP01002046,NIGP01002046,
NIGP01000322,NIGP01000322,NIGP01000322,
NIGP01000505,NIGP01000505,NIGP01000505,
NIGP01002152,NIGP01002152,NIGP01002152,
NIGP01000627,NIGP01000627,NIGP01000627,
NIGP01000598,NIGP01000598,NIGP01000598,
NIGP01000274,NIGP01000274,NIGP01000274,
NIGP01000414,NIGP01000414,NIGP01000414,
NIGP01002253,NIGP01002253,NIGP01002253,
NIGP01001029,NIGP01001029,NIGP01001029,
NIGP01000599,NIGP01000599,NIGP01000599,
NIGP01001510,NIGP01001510,NIGP01001510,
NIGP01001887,NIGP01001887,NIGP01001887,
NIGP01001615,NIGP01001615,NIGP01001615,
NIGP01000650,NIGP01000650,NIGP01000650,
NIGP01000735,NIGP01000735,NIGP01000735,
NIGP01002199,NIGP01002199,NIGP01002199,
NIGP01001036,NIGP01001036,NIGP01001036,
NIGP01002153,NIGP01002153,NIGP01002153,
NIGP01001949,NIGP01001949,NIGP01001949,
NIGP01002196,NIGP01002196,NIGP01002196,
NIGP01000407,NIGP01000407,NIGP01000407,
NIGP01000437,NIGP01000437,NIGP01000437,
NIGP01001919,NIGP01001919,NIGP01001919,
NIGP01000809,NIGP01000809,NIGP01000809,
NIGP01001929,NIGP01001929,NIGP01001929,
NIGP01001703,NIGP01001703,NIGP01001703,
NIGP01001866,NIGP01001866,NIGP01001866,
NIGP01000504,NIGP01000504,NIGP01000504,
NIGP01001327,NIGP01001327,NIGP01001327,
NIGP01002058,NIGP01002058,NIGP01002058,
NIGP01000779,NIGP01000779,NIGP01000779,
NIGP01001557,NIGP01001557,NIGP01001557,
NIGP01002024,NIGP01002024,NIGP01002024,
NIGP01000859,NIGP01000859,NIGP01000859,
NIGP01000206,NIGP01000206,NIGP01000206,
NIGP01001987,NIGP01001987,NIGP01001987,
NIGP01000189,NIGP01000189,NIGP01000189,
NIGP01000210,NIGP01000210,NIGP01000210,
NIGP01000398,NIGP01000398,NIGP01000398,
NIGP01001019,NIGP01001019,NIGP01001019,
NIGP01001717,NIGP01001717,NIGP01001717,
NIGP01002087,NIGP01002087,NIGP01002087,
NIGP01001650,NIGP01001650,NIGP01001650,
NIGP01001965,NIGP01001965,NIGP01001965,
NIGP01001768,NIGP01001768,NIGP01001768,
NIGP01001845,NIGP01001845,NIGP01001845,
