current seq_region name,new seq_region name,INSDC accession,Notes
2L,AalBS2_2L,CM008152,
2R,AalBS2_2R,CM008153,
3L,AalBS2_3L,CM008154,
3R,AalBS2_3R,CM008155,
X,AalBS2_X,CM008156,
APCK01000451,APCK01000451,APCK01000451,
APCK01000452,APCK01000452,APCK01000452,
APCK01000497,APCK01000497,APCK01000497,
APCK01000498,APCK01000498,APCK01000498,
APCK01001032,APCK01001032,APCK01001032,
APCK01001033,APCK01001033,APCK01001033,
APCK01001034,APCK01001034,APCK01001034,
APCK01001035,APCK01001035,APCK01001035,
APCK01001036,APCK01001036,APCK01001036,
APCK01001037,APCK01001037,APCK01001037,
APCK01001096,APCK01001096,APCK01001096,
APCK01001100,APCK01001100,APCK01001100,
APCK01001101,APCK01001101,APCK01001101,
APCK01001581,APCK01001581,APCK01001581,
APCK01001582,APCK01001582,APCK01001582,
APCK01001583,APCK01001583,APCK01001583,
APCK01001584,APCK01001584,APCK01001584,
APCK01001585,APCK01001585,APCK01001585,
APCK01001586,APCK01001586,APCK01001586,
APCK01001587,APCK01001587,APCK01001587,
APCK01001588,APCK01001588,APCK01001588,
APCK01001589,APCK01001589,APCK01001589,
APCK01001590,APCK01001590,APCK01001590,
APCK01002605,APCK01002605,APCK01002605,
APCK01002606,APCK01002606,APCK01002606,
APCK01002618,APCK01002618,APCK01002618,
APCK01002619,APCK01002619,APCK01002619,
APCK01002640,APCK01002640,APCK01002640,
APCK01002641,APCK01002641,APCK01002641,
APCK01002646,APCK01002646,APCK01002646,
APCK01002647,APCK01002647,APCK01002647,
APCK01002651,APCK01002651,APCK01002651,
APCK01002656,APCK01002656,APCK01002656,
APCK01002674,APCK01002674,APCK01002674,
APCK01002679,APCK01002679,APCK01002679,
APCK01002695,APCK01002695,APCK01002695,
APCK01002699,APCK01002699,APCK01002699,
APCK01002700,APCK01002700,APCK01002700,
APCK01002708,APCK01002708,APCK01002708,
APCK01002709,APCK01002709,APCK01002709,
APCK01002723,APCK01002723,APCK01002723,
APCK01002724,APCK01002724,APCK01002724,
APCK01002727,APCK01002727,APCK01002727,
APCK01002738,APCK01002738,APCK01002738,
APCK01002742,APCK01002742,APCK01002742,
APCK01002743,APCK01002743,APCK01002743,
APCK01002744,APCK01002744,APCK01002744,
APCK01002745,APCK01002745,APCK01002745,
APCK01002746,APCK01002746,APCK01002746,
APCK01002749,APCK01002749,APCK01002749,
APCK01002750,APCK01002750,APCK01002750,
APCK01002757,APCK01002757,APCK01002757,
APCK01002760,APCK01002760,APCK01002760,
APCK01002765,APCK01002765,APCK01002765,
APCK01002772,APCK01002772,APCK01002772,
APCK01002773,APCK01002773,APCK01002773,
APCK01002774,APCK01002774,APCK01002774,
APCK01002775,APCK01002775,APCK01002775,
APCK01002776,APCK01002776,APCK01002776,
APCK01002779,APCK01002779,APCK01002779,
APCK01002780,APCK01002780,APCK01002780,
APCK01002781,APCK01002781,APCK01002781,
APCK01002782,APCK01002782,APCK01002782,
APCK01002783,APCK01002783,APCK01002783,
APCK01002784,APCK01002784,APCK01002784,
APCK01002787,APCK01002787,APCK01002787,
APCK01002788,APCK01002788,APCK01002788,
APCK01002789,APCK01002789,APCK01002789,
APCK01002790,APCK01002790,APCK01002790,
APCK01002791,APCK01002791,APCK01002791,
APCK01002792,APCK01002792,APCK01002792,
APCK01002793,APCK01002793,APCK01002793,
APCK01002794,APCK01002794,APCK01002794,
APCK01002795,APCK01002795,APCK01002795,
APCK01002796,APCK01002796,APCK01002796,
APCK01002797,APCK01002797,APCK01002797,
APCK01002798,APCK01002798,APCK01002798,
APCK01002799,APCK01002799,APCK01002799,
APCK01002800,APCK01002800,APCK01002800,
APCK01002801,APCK01002801,APCK01002801,
