current seq_region name,new seq_region name,INSDC accession,Notes
2L,AatrE3_2L,awol,
2R,AatrE3_2R,awol,
3L,AatrE3_3L,awol,
3R,AatrE3_3R,awol,
X,AatrE3_X,awol,
AXCP01007715,AXCP01007715,AXCP01007715,
AXCP01007726,AXCP01007726,AXCP01007726,
AXCP01007734,AXCP01007734,AXCP01007734,
AXCP01007740,AXCP01007740,AXCP01007740,
AXCP01007741,AXCP01007741,AXCP01007741,
AXCP01007742,AXCP01007742,AXCP01007742,
AXCP01007773,AXCP01007773,AXCP01007773,
AXCP01007784,AXCP01007784,AXCP01007784,
AXCP01007799,AXCP01007799,AXCP01007799,
AXCP01007804,AXCP01007804,AXCP01007804,
AXCP01007805,AXCP01007805,AXCP01007805,
AXCP01007810,AXCP01007810,AXCP01007810,
AXCP01007817,AXCP01007817,AXCP01007817,
AXCP01007820,AXCP01007820,AXCP01007820,
AXCP01007821,AXCP01007821,AXCP01007821,
AXCP01007822,AXCP01007822,AXCP01007822,
AXCP01007831,AXCP01007831,AXCP01007831,
AXCP01007832,AXCP01007832,AXCP01007832,
AXCP01007833,AXCP01007833,AXCP01007833,
AXCP01007860,AXCP01007860,AXCP01007860,
AXCP01007863,AXCP01007863,AXCP01007863,
AXCP01007876,AXCP01007876,AXCP01007876,
AXCP01007887,AXCP01007887,AXCP01007887,
AXCP01007888,AXCP01007888,AXCP01007888,
AXCP01007901,AXCP01007901,AXCP01007901,
AXCP01007902,AXCP01007902,AXCP01007902,
AXCP01007903,AXCP01007903,AXCP01007903,
AXCP01007904,AXCP01007904,AXCP01007904,
AXCP01007915,AXCP01007915,AXCP01007915,
AXCP01007916,AXCP01007916,AXCP01007916,
AXCP01007932,AXCP01007932,AXCP01007932,
AXCP01007933,AXCP01007933,AXCP01007933,
AXCP01007937,AXCP01007937,AXCP01007937,
AXCP01007946,AXCP01007946,AXCP01007946,
AXCP01007959,AXCP01007959,AXCP01007959,
AXCP01007960,AXCP01007960,AXCP01007960,
AXCP01007961,AXCP01007961,AXCP01007961,
AXCP01007964,AXCP01007964,AXCP01007964,
AXCP01007965,AXCP01007965,AXCP01007965,
AXCP01007966,AXCP01007966,AXCP01007966,
AXCP01007967,AXCP01007967,AXCP01007967,
AXCP01007971,AXCP01007971,AXCP01007971,
AXCP01007976,AXCP01007976,AXCP01007976,
AXCP01007977,AXCP01007977,AXCP01007977,
AXCP01007978,AXCP01007978,AXCP01007978,
AXCP01008000,AXCP01008000,AXCP01008000,
AXCP01008010,AXCP01008010,AXCP01008010,
AXCP01008011,AXCP01008011,AXCP01008011,
AXCP01008018,AXCP01008018,AXCP01008018,
AXCP01008021,AXCP01008021,AXCP01008021,
AXCP01008022,AXCP01008022,AXCP01008022,
AXCP01008025,AXCP01008025,AXCP01008025,
AXCP01008026,AXCP01008026,AXCP01008026,
AXCP01008029,AXCP01008029,AXCP01008029,
AXCP01008030,AXCP01008030,AXCP01008030,
AXCP01008031,AXCP01008031,AXCP01008031,
AXCP01008032,AXCP01008032,AXCP01008032,
AXCP01008033,AXCP01008033,AXCP01008033,
AXCP01008034,AXCP01008034,AXCP01008034,
AXCP01008035,AXCP01008035,AXCP01008035,
AXCP01008036,AXCP01008036,AXCP01008036,
AXCP01008037,AXCP01008037,AXCP01008037,
AXCP01008038,AXCP01008038,AXCP01008038,
AXCP01008039,AXCP01008039,AXCP01008039,
AXCP01008050,AXCP01008050,AXCP01008050,
AXCP01008058,AXCP01008058,AXCP01008058,
AXCP01008068,AXCP01008068,AXCP01008068,
AXCP01008069,AXCP01008069,AXCP01008069,
AXCP01008070,AXCP01008070,AXCP01008070,
AXCP01008071,AXCP01008071,AXCP01008071,
AXCP01008077,AXCP01008077,AXCP01008077,
AXCP01008078,AXCP01008078,AXCP01008078,
AXCP01008079,AXCP01008079,AXCP01008079,
AXCP01008080,AXCP01008080,AXCP01008080,
AXCP01008081,AXCP01008081,AXCP01008081,
AXCP01008086,AXCP01008086,AXCP01008086,
AXCP01008089,AXCP01008089,AXCP01008089,
AXCP01008090,AXCP01008090,AXCP01008090,
AXCP01008091,AXCP01008091,AXCP01008091,
AXCP01008095,AXCP01008095,AXCP01008095,
AXCP01008099,AXCP01008099,AXCP01008099,
AXCP01008100,AXCP01008100,AXCP01008100,
AXCP01008101,AXCP01008101,AXCP01008101,
AXCP01008102,AXCP01008102,AXCP01008102,
AXCP01008106,AXCP01008106,AXCP01008106,
AXCP01008107,AXCP01008107,AXCP01008107,
AXCP01008108,AXCP01008108,AXCP01008108,
AXCP01008134,AXCP01008134,AXCP01008134,
AXCP01008135,AXCP01008135,AXCP01008135,
AXCP01008146,AXCP01008146,AXCP01008146,
AXCP01008147,AXCP01008147,AXCP01008147,
AXCP01008156,AXCP01008156,AXCP01008156,
AXCP01008157,AXCP01008157,AXCP01008157,
AXCP01008170,AXCP01008170,AXCP01008170,
AXCP01008171,AXCP01008171,AXCP01008171,
AXCP01008205,AXCP01008205,AXCP01008205,
AXCP01008206,AXCP01008206,AXCP01008206,
AXCP01008220,AXCP01008220,AXCP01008220,
AXCP01008230,AXCP01008230,AXCP01008230,
AXCP01008245,AXCP01008245,AXCP01008245,
AXCP01008246,AXCP01008246,AXCP01008246,
AXCP01008247,AXCP01008247,AXCP01008247,
AXCP01008250,AXCP01008250,AXCP01008250,
AXCP01008251,AXCP01008251,AXCP01008251,
AXCP01008252,AXCP01008252,AXCP01008252,
AXCP01008253,AXCP01008253,AXCP01008253,
AXCP01008262,AXCP01008262,AXCP01008262,
AXCP01008263,AXCP01008263,AXCP01008263,
AXCP01008264,AXCP01008264,AXCP01008264,
AXCP01008274,AXCP01008274,AXCP01008274,
AXCP01008278,AXCP01008278,AXCP01008278,
AXCP01008279,AXCP01008279,AXCP01008279,
AXCP01008280,AXCP01008280,AXCP01008280,
AXCP01008283,AXCP01008283,AXCP01008283,
AXCP01008286,AXCP01008286,AXCP01008286,
AXCP01008289,AXCP01008289,AXCP01008289,
AXCP01008290,AXCP01008290,AXCP01008290,
AXCP01008291,AXCP01008291,AXCP01008291,
AXCP01008292,AXCP01008292,AXCP01008292,
AXCP01008293,AXCP01008293,AXCP01008293,
AXCP01008294,AXCP01008294,AXCP01008294,
AXCP01008295,AXCP01008295,AXCP01008295,
AXCP01008298,AXCP01008298,AXCP01008298,
AXCP01008299,AXCP01008299,AXCP01008299,
AXCP01008305,AXCP01008305,AXCP01008305,
AXCP01008311,AXCP01008311,AXCP01008311,
AXCP01008317,AXCP01008317,AXCP01008317,
AXCP01008328,AXCP01008328,AXCP01008328,
AXCP01008348,AXCP01008348,AXCP01008348,
AXCP01008349,AXCP01008349,AXCP01008349,
AXCP01008350,AXCP01008350,AXCP01008350,
AXCP01008358,AXCP01008358,AXCP01008358,
AXCP01008365,AXCP01008365,AXCP01008365,
AXCP01008393,AXCP01008393,AXCP01008393,
AXCP01008396,AXCP01008396,AXCP01008396,
AXCP01008403,AXCP01008403,AXCP01008403,
AXCP01008404,AXCP01008404,AXCP01008404,
AXCP01008405,AXCP01008405,AXCP01008405,
AXCP01008424,AXCP01008424,AXCP01008424,
AXCP01008425,AXCP01008425,AXCP01008425,
AXCP01008433,AXCP01008433,AXCP01008433,
AXCP01008434,AXCP01008434,AXCP01008434,
AXCP01008435,AXCP01008435,AXCP01008435,
AXCP01008436,AXCP01008436,AXCP01008436,
AXCP01008441,AXCP01008441,AXCP01008441,
AXCP01008446,AXCP01008446,AXCP01008446,
AXCP01008447,AXCP01008447,AXCP01008447,
AXCP01008448,AXCP01008448,AXCP01008448,
AXCP01008455,AXCP01008455,AXCP01008455,
AXCP01008456,AXCP01008456,AXCP01008456,
AXCP01008462,AXCP01008462,AXCP01008462,
AXCP01008467,AXCP01008467,AXCP01008467,
AXCP01008468,AXCP01008468,AXCP01008468,
AXCP01008494,AXCP01008494,AXCP01008494,
AXCP01008495,AXCP01008495,AXCP01008495,
AXCP01008496,AXCP01008496,AXCP01008496,
AXCP01008497,AXCP01008497,AXCP01008497,
AXCP01008498,AXCP01008498,AXCP01008498,
AXCP01008503,AXCP01008503,AXCP01008503,
AXCP01008506,AXCP01008506,AXCP01008506,
AXCP01008515,AXCP01008515,AXCP01008515,
AXCP01008516,AXCP01008516,AXCP01008516,
AXCP01008517,AXCP01008517,AXCP01008517,
AXCP01008518,AXCP01008518,AXCP01008518,
AXCP01008519,AXCP01008519,AXCP01008519,
AXCP01008524,AXCP01008524,AXCP01008524,
AXCP01008537,AXCP01008537,AXCP01008537,
AXCP01008556,AXCP01008556,AXCP01008556,
AXCP01008557,AXCP01008557,AXCP01008557,
AXCP01008560,AXCP01008560,AXCP01008560,
AXCP01008563,AXCP01008563,AXCP01008563,
