current seq_region name,new seq_region name,INSDC accession,Notes
scf_1925498905,EQ097730,EQ097730,
scf_1925498904,EQ097729,EQ097729,
scf_1925498903,EQ097728,EQ097728,
scf_1925498902,EQ097727,EQ097727,
scf_1925498901,EQ097726,EQ097726,
scf_1925498900,EQ097725,EQ097725,
scf_1925498899,EQ097724,EQ097724,
scf_1925498898,EQ097723,EQ097723,
scf_1925498897,EQ097722,EQ097722,
scf_1925498896,EQ097721,EQ097721,
scf_1925498895,EQ097720,EQ097720,
scf_1925498893,EQ097719,EQ097719,
scf_1925498892,EQ097718,EQ097718,
scf_1925498891,EQ097717,EQ097717,
scf_1925498890,EQ097716,EQ097716,
scf_1925498889,EQ097715,EQ097715,
scf_1925498888,EQ097714,EQ097714,
scf_1925498887,EQ097713,EQ097713,
scf_1925498886,EQ097712,EQ097712,
scf_1925498885,EQ097711,EQ097711,
scf_1925498884,EQ097710,EQ097710,
scf_1925498883,EQ097709,EQ097709,
scf_1925498882,EQ097708,EQ097708,
scf_1925498881,EQ097707,EQ097707,
scf_1925498880,EQ097706,EQ097706,
scf_1925498878,EQ097705,EQ097705,
scf_1925498877,EQ097704,EQ097704,
scf_1925498876,EQ097703,EQ097703,
scf_1925498875,EQ097702,EQ097702,
scf_1925498874,EQ097701,EQ097701,
scf_1925498873,EQ097700,EQ097700,
scf_1925498872,EQ097699,EQ097699,
scf_1925498871,EQ097698,EQ097698,
scf_1925498870,EQ097697,EQ097697,
scf_1925498869,EQ097696,EQ097696,
scf_1925498868,EQ097695,EQ097695,
scf_1925498867,EQ097694,EQ097694,
scf_1925498866,EQ097693,EQ097693,
scf_1925498865,EQ097692,EQ097692,
scf_1925498864,EQ097691,EQ097691,
scf_1925498863,EQ097690,EQ097690,
scf_1925498862,EQ097689,EQ097689,
scf_1925498861,EQ097688,EQ097688,
scf_1925498860,EQ097687,EQ097687,
scf_1925498859,EQ097686,EQ097686,
scf_1925498858,EQ097685,EQ097685,
scf_1925498857,EQ097684,EQ097684,
scf_1925498856,EQ097683,EQ097683,
scf_1925498855,EQ097682,EQ097682,
scf_1925498854,EQ097681,EQ097681,
scf_1925498853,EQ097680,EQ097680,
