current seq_region name,new seq_region name,INSDC accession,Notes
MT,AdarC3_MT,GQ918272,
scaffold_1,ADMH02002125,ADMH02002125,
scaffold_2,ADMH02002134,ADMH02002134,
scaffold_3,ADMH02002130,ADMH02002130,
scaffold_4,ADMH02002101,ADMH02002101,
scaffold_5,ADMH02001962,ADMH02001962,
scaffold_6,ADMH02000120,ADMH02000120,
scaffold_7,ADMH02002105,ADMH02002105,
scaffold_8,ADMH02001866,ADMH02001866,
scaffold_9,ADMH02001479,ADMH02001479,
scaffold_10,ADMH02000483,ADMH02000483,
scaffold_11,ADMH02002078,ADMH02002078,
scaffold_12,ADMH02002093,ADMH02002093,
scaffold_13,ADMH02002103,ADMH02002103,
scaffold_14,ADMH02002133,ADMH02002133,
scaffold_15,ADMH02000540,ADMH02000540,
scaffold_16,ADMH02002112,ADMH02002112,
scaffold_17,ADMH02000632,ADMH02000632,
scaffold_18,ADMH02001371,ADMH02001371,
scaffold_19,ADMH02002131,ADMH02002131,
scaffold_20,ADMH02001070,ADMH02001070,
scaffold_21,ADMH02001647,ADMH02001647,
scaffold_22,ADMH02002104,ADMH02002104,
scaffold_23,ADMH02002157,ADMH02002157,
scaffold_24,ADMH02002026,ADMH02002026,
scaffold_25,ADMH02002165,ADMH02002165,
scaffold_26,ADMH02002110,ADMH02002110,
scaffold_27,ADMH02001019,ADMH02001019,
scaffold_28,ADMH02002086,ADMH02002086,
scaffold_29,ADMH02002138,ADMH02002138,
scaffold_30,ADMH02002183,ADMH02002183,
scaffold_31,ADMH02000042,ADMH02000042,
scaffold_32,ADMH02001893,ADMH02001893,
scaffold_33,ADMH02002027,ADMH02002027,
scaffold_34,ADMH02002162,ADMH02002162,
scaffold_35,ADMH02002066,ADMH02002066,
scaffold_36,ADMH02001646,ADMH02001646,
scaffold_37,ADMH02002129,ADMH02002129,
scaffold_38,ADMH02002184,ADMH02002184,
scaffold_39,ADMH02001966,ADMH02001966,
scaffold_2161,ADMH02002113,ADMH02002113,
scaffold_40,ADMH02001952,ADMH02001952,
scaffold_41,ADMH02001252,ADMH02001252,
scaffold_2162,ADMH02002192,ADMH02002192,
scaffold_42,ADMH02002070,ADMH02002070,
scaffold_43,ADMH02001255,ADMH02001255,
scaffold_44,ADMH02002074,ADMH02002074,
scaffold_45,ADMH02001603,ADMH02001603,
scaffold_46,ADMH02002219,ADMH02002219,
scaffold_47,ADMH02001280,ADMH02001280,
scaffold_48,ADMH02001356,ADMH02001356,
scaffold_49,ADMH02002107,ADMH02002107,
scaffold_50,ADMH02002100,ADMH02002100,
scaffold_51,ADMH02001572,ADMH02001572,
scaffold_52,ADMH02001258,ADMH02001258,
scaffold_53,ADMH02000549,ADMH02000549,
scaffold_54,ADMH02002119,ADMH02002119,
scaffold_55,ADMH02002200,ADMH02002200,
scaffold_56,ADMH02001599,ADMH02001599,
scaffold_57,ADMH02002146,ADMH02002146,
scaffold_58,ADMH02001328,ADMH02001328,
scaffold_59,ADMH02002218,ADMH02002218,
scaffold_60,ADMH02000350,ADMH02000350,
scaffold_61,ADMH02000676,ADMH02000676,
scaffold_62,ADMH02000413,ADMH02000413,
scaffold_63,ADMH02001932,ADMH02001932,
scaffold_64,ADMH02002181,ADMH02002181,
scaffold_65,ADMH02002189,ADMH02002189,
scaffold_66,ADMH02002077,ADMH02002077,
scaffold_67,ADMH02002096,ADMH02002096,
scaffold_68,ADMH02000138,ADMH02000138,
scaffold_69,ADMH02002111,ADMH02002111,
scaffold_70,ADMH02001847,ADMH02001847,
scaffold_71,ADMH02002089,ADMH02002089,
scaffold_72,ADMH02001054,ADMH02001054,
scaffold_73,ADMH02001746,ADMH02001746,
scaffold_74,ADMH02002085,ADMH02002085,
scaffold_2163,ADMH02002141,ADMH02002141,
scaffold_75,ADMH02000065,ADMH02000065,
scaffold_76,ADMH02000430,ADMH02000430,
scaffold_77,ADMH02000060,ADMH02000060,
scaffold_78,ADMH02000026,ADMH02000026,
scaffold_79,ADMH02001577,ADMH02001577,
scaffold_80,ADMH02001856,ADMH02001856,
scaffold_81,ADMH02002072,ADMH02002072,
scaffold_82,ADMH02001412,ADMH02001412,
scaffold_83,ADMH02002207,ADMH02002207,
scaffold_84,ADMH02002102,ADMH02002102,
scaffold_85,ADMH02002090,ADMH02002090,
scaffold_86,ADMH02001961,ADMH02001961,
scaffold_87,ADMH02000830,ADMH02000830,
scaffold_88,ADMH02002099,ADMH02002099,
scaffold_89,ADMH02000153,ADMH02000153,
scaffold_90,ADMH02002168,ADMH02002168,
scaffold_91,ADMH02000180,ADMH02000180,
scaffold_92,ADMH02002143,ADMH02002143,
scaffold_93,ADMH02000551,ADMH02000551,
scaffold_94,ADMH02002120,ADMH02002120,
scaffold_95,ADMH02001528,ADMH02001528,
scaffold_96,ADMH02001295,ADMH02001295,
scaffold_97,ADMH02002132,ADMH02002132,
scaffold_98,ADMH02001698,ADMH02001698,
scaffold_99,ADMH02001488,ADMH02001488,
scaffold_100,ADMH02002020,ADMH02002020,
scaffold_101,ADMH02000581,ADMH02000581,
scaffold_102,ADMH02001057,ADMH02001057,
scaffold_103,ADMH02001664,ADMH02001664,
scaffold_104,ADMH02001267,ADMH02001267,
scaffold_105,ADMH02000839,ADMH02000839,
scaffold_106,ADMH02001719,ADMH02001719,
scaffold_107,ADMH02001205,ADMH02001205,
scaffold_108,ADMH02001370,ADMH02001370,
scaffold_109,ADMH02000438,ADMH02000438,
scaffold_110,ADMH02000571,ADMH02000571,
scaffold_111,ADMH02001605,ADMH02001605,
scaffold_112,ADMH02000189,ADMH02000189,
scaffold_113,ADMH02001360,ADMH02001360,
scaffold_114,ADMH02001629,ADMH02001629,
scaffold_115,ADMH02002000,ADMH02002000,
scaffold_116,ADMH02002139,ADMH02002139,
scaffold_117,ADMH02002044,ADMH02002044,
scaffold_118,ADMH02002127,ADMH02002127,
scaffold_119,ADMH02001633,ADMH02001633,
scaffold_120,ADMH02002098,ADMH02002098,
scaffold_121,ADMH02001712,ADMH02001712,
scaffold_122,ADMH02000375,ADMH02000375,
scaffold_123,ADMH02000578,ADMH02000578,
scaffold_124,ADMH02001311,ADMH02001311,
scaffold_125,ADMH02002092,ADMH02002092,
scaffold_126,ADMH02002140,ADMH02002140,
scaffold_127,ADMH02002158,ADMH02002158,
scaffold_128,ADMH02001905,ADMH02001905,
scaffold_129,ADMH02001265,ADMH02001265,
scaffold_130,ADMH02000272,ADMH02000272,
scaffold_131,ADMH02000317,ADMH02000317,
scaffold_132,ADMH02002215,ADMH02002215,
scaffold_133,ADMH02001372,ADMH02001372,
scaffold_134,ADMH02002094,ADMH02002094,
scaffold_135,ADMH02001883,ADMH02001883,
scaffold_136,ADMH02002123,ADMH02002123,
scaffold_137,ADMH02000584,ADMH02000584,
scaffold_138,ADMH02001585,ADMH02001585,
scaffold_139,ADMH02001863,ADMH02001863,
scaffold_140,ADMH02001204,ADMH02001204,
scaffold_141,ADMH02001422,ADMH02001422,
scaffold_142,ADMH02001638,ADMH02001638,
scaffold_143,ADMH02000567,ADMH02000567,
scaffold_144,ADMH02002170,ADMH02002170,
scaffold_145,ADMH02000800,ADMH02000800,
scaffold_146,ADMH02001911,ADMH02001911,
scaffold_147,ADMH02000239,ADMH02000239,
scaffold_148,ADMH02001044,ADMH02001044,
scaffold_149,ADMH02002135,ADMH02002135,
scaffold_150,ADMH02001578,ADMH02001578,
scaffold_151,ADMH02001352,ADMH02001352,
scaffold_152,ADMH02000379,ADMH02000379,
scaffold_153,ADMH02001587,ADMH02001587,
scaffold_154,ADMH02002076,ADMH02002076,
