current seq_region name,new seq_region name,INSDC accession,Notes
CM012070,AfunF3_X,CM012070,
CM012071,AfunF3_2,CM012071,
CM012072,AfunF3_3,CM012072,
RCWQ01000004,RCWQ01000004,RCWQ01000004,
RCWQ01000005,RCWQ01000005,RCWQ01000005,
RCWQ01000006,RCWQ01000006,RCWQ01000006,
RCWQ01000007,RCWQ01000007,RCWQ01000007,
RCWQ01000008,RCWQ01000008,RCWQ01000008,
RCWQ01000009,RCWQ01000009,RCWQ01000009,
RCWQ01000010,RCWQ01000010,RCWQ01000010,
RCWQ01000011,RCWQ01000011,RCWQ01000011,
RCWQ01000012,RCWQ01000012,RCWQ01000012,
RCWQ01000013,RCWQ01000013,RCWQ01000013,
RCWQ01000014,RCWQ01000014,RCWQ01000014,
RCWQ01000015,RCWQ01000015,RCWQ01000015,
RCWQ01000016,RCWQ01000016,RCWQ01000016,
RCWQ01000017,RCWQ01000017,RCWQ01000017,
RCWQ01000018,RCWQ01000018,RCWQ01000018,
RCWQ01000019,RCWQ01000019,RCWQ01000019,
RCWQ01000020,RCWQ01000020,RCWQ01000020,
RCWQ01000021,RCWQ01000021,RCWQ01000021,
RCWQ01000022,RCWQ01000022,RCWQ01000022,
RCWQ01000023,RCWQ01000023,RCWQ01000023,
RCWQ01000024,RCWQ01000024,RCWQ01000024,
RCWQ01000025,RCWQ01000025,RCWQ01000025,
RCWQ01000026,RCWQ01000026,RCWQ01000026,
RCWQ01000027,RCWQ01000027,RCWQ01000027,
RCWQ01000028,RCWQ01000028,RCWQ01000028,
RCWQ01000029,RCWQ01000029,RCWQ01000029,
RCWQ01000030,RCWQ01000030,RCWQ01000030,
RCWQ01000031,RCWQ01000031,RCWQ01000031,
RCWQ01000032,RCWQ01000032,RCWQ01000032,
RCWQ01000033,RCWQ01000033,RCWQ01000033,
RCWQ01000034,RCWQ01000034,RCWQ01000034,
RCWQ01000035,RCWQ01000035,RCWQ01000035,
RCWQ01000036,RCWQ01000036,RCWQ01000036,
RCWQ01000037,RCWQ01000037,RCWQ01000037,
RCWQ01000038,RCWQ01000038,RCWQ01000038,
RCWQ01000039,RCWQ01000039,RCWQ01000039,
RCWQ01000040,RCWQ01000040,RCWQ01000040,
RCWQ01000041,RCWQ01000041,RCWQ01000041,
RCWQ01000042,RCWQ01000042,RCWQ01000042,
RCWQ01000043,RCWQ01000043,RCWQ01000043,
RCWQ01000044,RCWQ01000044,RCWQ01000044,
RCWQ01000045,RCWQ01000045,RCWQ01000045,
RCWQ01000046,RCWQ01000046,RCWQ01000046,
RCWQ01000047,RCWQ01000047,RCWQ01000047,
RCWQ01000048,RCWQ01000048,RCWQ01000048,
RCWQ01000049,RCWQ01000049,RCWQ01000049,
RCWQ01000050,RCWQ01000050,RCWQ01000050,
RCWQ01000051,RCWQ01000051,RCWQ01000051,
RCWQ01000052,RCWQ01000052,RCWQ01000052,
RCWQ01000053,RCWQ01000053,RCWQ01000053,
RCWQ01000054,RCWQ01000054,RCWQ01000054,
RCWQ01000055,RCWQ01000055,RCWQ01000055,
