current seq_region name,new seq_region name,INSDC accession,Notes
2L,AgamP4_2L,CM000356,
2R,AgamP4_2R,CM000357,
3L,AgamP4_3L,CM000358,
3R,AgamP4_3R,CM000359,
Mt,AgamP4_Mt,L20934,
UNKN,AgamP4_UNKN,n/a,
X,AgamP4_X,CM000360,
Y_unplaced,AgamP4_Y_unplaced,n/a,
AAAB01000047.1,AAAB01000047,AAAB01000047,alternative assembly
AAAB01000163.1,AAAB01000163,AAAB01000163,alternative assembly
AAAB01000448.1,AAAB01000448,AAAB01000448,alternative assembly
AAAB01000630,AAAB01000630,AAAB01000630,bacterial contamination
AAAB01000655,AAAB01000655,AAAB01000655,bacterial contamination
AAAB01000700,AAAB01000700,AAAB01000700,bacterial contamination
AAAB01000710,AAAB01000710,AAAB01000710,bacterial contamination
AAAB01000754,AAAB01000754,AAAB01000754,bacterial contamination
AAAB01000756,AAAB01000756,AAAB01000756,bacterial contamination
AAAB01000772,AAAB01000772,AAAB01000772,bacterial contamination
AAAB01000791.1,AAAB01000791,AAAB01000791,alternative assembly
AAAB01000805,AAAB01000805,AAAB01000805,bacterial contamination
AAAB01000813.1,AAAB01000813,AAAB01000813,alternative assembly
AAAB01000814,AAAB01000814,AAAB01000814,bacterial contamination
AAAB01000855,AAAB01000855,AAAB01000855,bacterial contamination
AAAB01000877,AAAB01000877,AAAB01000877,bacterial contamination
AAAB01000883,AAAB01000883,AAAB01000883,bacterial contamination
AAAB01000889.1,AAAB01000889,AAAB01000889,alternative assembly
AAAB01000899,AAAB01000899,AAAB01000899,bacterial contamination
AAAB01000901,AAAB01000901,AAAB01000901,bacterial contamination
AAAB01000911,AAAB01000911,AAAB01000911,bacterial contamination
AAAB01000943,AAAB01000943,AAAB01000943,bacterial contamination
AAAB01000952,AAAB01000952,AAAB01000952,bacterial contamination
AAAB01000962,AAAB01000962,AAAB01000962,bacterial contamination
AAAB01000995.1,AAAB01000995,AAAB01000995,alternative assembly
AAAB01001002,AAAB01001002,AAAB01001002,bacterial contamination
AAAB01001027,AAAB01001027,AAAB01001027,bacterial contamination
AAAB01001031,AAAB01001031,AAAB01001031,bacterial contamination
AAAB01001048.1,AAAB01001048,AAAB01001048,alternative assembly
AAAB01001056.1,AAAB01001056,AAAB01001056,alternative assembly
AAAB01001077,AAAB01001077,AAAB01001077,bacterial contamination
AAAB01001085,AAAB01001085,AAAB01001085,bacterial contamination
AAAB01001092,AAAB01001092,AAAB01001092,bacterial contamination
AAAB01001100,AAAB01001100,AAAB01001100,bacterial contamination
AAAB01001104,AAAB01001104,AAAB01001104,bacterial contamination
AAAB01001109,AAAB01001109,AAAB01001109,bacterial contamination
AAAB01001116,AAAB01001116,AAAB01001116,bacterial contamination
AAAB01001122.1,AAAB01001122,AAAB01001122,alternative assembly
AAAB01001198,AAAB01001198,AAAB01001198,bacterial contamination
AAAB01001250,AAAB01001250,AAAB01001250,bacterial contamination
AAAB01001315,AAAB01001315,AAAB01001315,bacterial contamination
AAAB01001339,AAAB01001339,AAAB01001339,bacterial contamination
AAAB01001356,AAAB01001356,AAAB01001356,bacterial contamination
AAAB01001366,AAAB01001366,AAAB01001366,bacterial contamination
AAAB01001384,AAAB01001384,AAAB01001384,bacterial contamination
AAAB01001461,AAAB01001461,AAAB01001461,bacterial contamination
AAAB01001473,AAAB01001473,AAAB01001473,bacterial contamination
AAAB01001477,AAAB01001477,AAAB01001477,bacterial contamination
AAAB01001481,AAAB01001481,AAAB01001481,bacterial contamination
AAAB01001530,AAAB01001530,AAAB01001530,bacterial contamination
AAAB01001532,AAAB01001532,AAAB01001532,bacterial contamination
AAAB01001534,AAAB01001534,AAAB01001534,bacterial contamination
AAAB01001548.1,AAAB01001548,AAAB01001548,alternative assembly
AAAB01001582,AAAB01001582,AAAB01001582,bacterial contamination
AAAB01001600,AAAB01001600,AAAB01001600,bacterial contamination
AAAB01001604,AAAB01001604,AAAB01001604,bacterial contamination
AAAB01001615,AAAB01001615,AAAB01001615,bacterial contamination
AAAB01001619,AAAB01001619,AAAB01001619,bacterial contamination
AAAB01001654.1,AAAB01001654,AAAB01001654,alternative assembly
AAAB01001683,AAAB01001683,AAAB01001683,bacterial contamination
AAAB01001687.1,AAAB01001687,AAAB01001687,alternative assembly
AAAB01001691,AAAB01001691,AAAB01001691,bacterial contamination
AAAB01001708,AAAB01001708,AAAB01001708,bacterial contamination
AAAB01001730,AAAB01001730,AAAB01001730,bacterial contamination
AAAB01001761,AAAB01001761,AAAB01001761,bacterial contamination
AAAB01001842,AAAB01001842,AAAB01001842,bacterial contamination
AAAB01001848,AAAB01001848,AAAB01001848,bacterial contamination
AAAB01001863,AAAB01001863,AAAB01001863,bacterial contamination
AAAB01001866,AAAB01001866,AAAB01001866,bacterial contamination
AAAB01001894,AAAB01001894,AAAB01001894,bacterial contamination
AAAB01001905,AAAB01001905,AAAB01001905,bacterial contamination
AAAB01001916,AAAB01001916,AAAB01001916,bacterial contamination
AAAB01001918,AAAB01001918,AAAB01001918,bacterial contamination
AAAB01001923,AAAB01001923,AAAB01001923,bacterial contamination
AAAB01001960.1,AAAB01001960,AAAB01001960,alternative assembly
AAAB01001961,AAAB01001961,AAAB01001961,bacterial contamination
AAAB01001970,AAAB01001970,AAAB01001970,bacterial contamination
AAAB01001985,AAAB01001985,AAAB01001985,bacterial contamination
AAAB01001999,AAAB01001999,AAAB01001999,bacterial contamination
AAAB01002000.1,AAAB01002000,AAAB01002000,alternative assembly
AAAB01002010.1,AAAB01002010,AAAB01002010,alternative assembly
AAAB01002048,AAAB01002048,AAAB01002048,bacterial contamination
AAAB01002072,AAAB01002072,AAAB01002072,bacterial contamination
AAAB01002097,AAAB01002097,AAAB01002097,bacterial contamination
AAAB01002104,AAAB01002104,AAAB01002104,bacterial contamination
AAAB01002109,AAAB01002109,AAAB01002109,bacterial contamination
AAAB01002124.1,AAAB01002124,AAAB01002124,alternative assembly
AAAB01002134,AAAB01002134,AAAB01002134,bacterial contamination
AAAB01002174,AAAB01002174,AAAB01002174,bacterial contamination
AAAB01002193,AAAB01002193,AAAB01002193,bacterial contamination
AAAB01002209.1,AAAB01002209,AAAB01002209,alternative assembly
AAAB01002263,AAAB01002263,AAAB01002263,bacterial contamination
AAAB01002294,AAAB01002294,AAAB01002294,bacterial contamination
AAAB01002363,AAAB01002363,AAAB01002363,bacterial contamination
AAAB01002406,AAAB01002406,AAAB01002406,bacterial contamination
AAAB01002421,AAAB01002421,AAAB01002421,bacterial contamination
AAAB01002438.1,AAAB01002438,AAAB01002438,alternative assembly
AAAB01002482,AAAB01002482,AAAB01002482,bacterial contamination
AAAB01002485,AAAB01002485,AAAB01002485,bacterial contamination
AAAB01002517,AAAB01002517,AAAB01002517,bacterial contamination
AAAB01002544,AAAB01002544,AAAB01002544,bacterial contamination
AAAB01002556,AAAB01002556,AAAB01002556,bacterial contamination
AAAB01002592,AAAB01002592,AAAB01002592,bacterial contamination
AAAB01002609,AAAB01002609,AAAB01002609,bacterial contamination
AAAB01002615,AAAB01002615,AAAB01002615,bacterial contamination
AAAB01002617,AAAB01002617,AAAB01002617,bacterial contamination
AAAB01002623,AAAB01002623,AAAB01002623,bacterial contamination
AAAB01002627,AAAB01002627,AAAB01002627,bacterial contamination
AAAB01002629,AAAB01002629,AAAB01002629,bacterial contamination
AAAB01002635,AAAB01002635,AAAB01002635,bacterial contamination
AAAB01002642,AAAB01002642,AAAB01002642,bacterial contamination
AAAB01002648,AAAB01002648,AAAB01002648,bacterial contamination
