current seq_region name,new seq_region name,INSDC accession,Notes
scf_1106392408182,EQ110772,EQ110772,
scf_1106392408181,EQ110771,EQ110771,
scf_1106392408180,EQ110770,EQ110770,
scf_1106392408179,EQ110769,EQ110769,
scf_1106392408178,EQ110768,EQ110768,
scf_1106392408177,EQ110767,EQ110767,
scf_1106392408176,EQ110766,EQ110766,
scf_1106392408175,EQ110765,EQ110765,
scf_1106392408174,EQ110764,EQ110764,
scf_1106392408173,EQ110763,EQ110763,
scf_1106392408172,EQ110762,EQ110762,
scf_1106392408171,EQ110761,EQ110761,
scf_1106392408170,EQ110760,EQ110760,
scf_1106392408169,EQ110759,EQ110759,
scf_1106392408168,EQ110758,EQ110758,
scf_1106392408167,EQ110757,EQ110757,
scf_1106392408166,EQ110756,EQ110756,
scf_1106392408165,EQ110755,EQ110755,
scf_1106392408164,EQ110754,EQ110754,
scf_1106392408163,EQ110753,EQ110753,
scf_1106392408162,EQ110752,EQ110752,
scf_1106392408161,EQ110751,EQ110751,
scf_1106392408160,EQ110750,EQ110750,
scf_1106392408159,EQ110749,EQ110749,
scf_1106392408158,EQ110748,EQ110748,
scf_1106392408157,EQ110747,EQ110747,
scf_1106392408156,EQ110746,EQ110746,
scf_1106392408155,EQ110745,EQ110745,
scf_1106392408154,EQ110744,EQ110744,
scf_1106392408153,EQ110743,EQ110743,
scf_1106392408152,EQ110742,EQ110742,
scf_1106392408151,EQ110741,EQ110741,
scf_1106392408150,EQ110740,EQ110740,
scf_1106392408149,EQ110739,EQ110739,
scf_1106392408148,EQ110738,EQ110738,
scf_1106392408147,EQ110737,EQ110737,
scf_1106392408146,EQ110736,EQ110736,
scf_1106392408145,EQ110735,EQ110735,
scf_1106392408144,EQ110734,EQ110734,
scf_1106392408143,EQ110733,EQ110733,
scf_1106392408142,EQ110732,EQ110732,
scf_1106392408141,EQ110731,EQ110731,
scf_1106392408140,EQ110730,EQ110730,
scf_1106392408139,EQ110729,EQ110729,
scf_1106392408138,EQ110728,EQ110728,
scf_1106392408137,EQ110727,EQ110727,
scf_1106392408136,EQ110726,EQ110726,
scf_1106392408135,EQ110725,EQ110725,
scf_1106392408134,EQ110724,EQ110724,
scf_1106392408133,EQ110723,EQ110723,
scf_1106392408132,EQ110722,EQ110722,
scf_1106392408131,EQ110721,EQ110721,
scf_1106392408130,EQ110720,EQ110720,
scf_1106392408129,EQ110719,EQ110719,
scf_1106392408128,EQ110718,EQ110718,
scf_1106392408127,EQ110717,EQ110717,
scf_1106392408126,EQ110716,EQ110716,
scf_1106392408125,EQ110715,EQ110715,
scf_1106392408124,EQ110714,EQ110714,
scf_1106392408123,EQ110713,EQ110713,
scf_1106392408122,EQ110712,EQ110712,
scf_1106392408121,EQ110711,EQ110711,
scf_1106392408120,EQ110710,EQ110710,
scf_1106392408119,EQ110709,EQ110709,
scf_1106392408118,EQ110708,EQ110708,
scf_1106392408117,EQ110707,EQ110707,
scf_1106392408116,EQ110706,EQ110706,
scf_1106392408115,EQ110705,EQ110705,
scf_1106392408114,EQ110704,EQ110704,
scf_1106392408113,EQ110703,EQ110703,
scf_1106392408112,EQ110702,EQ110702,
scf_1106392408111,EQ110701,EQ110701,
scf_1106392408110,EQ110700,EQ110700,
scf_1106392408109,EQ110699,EQ110699,
scf_1106392408108,EQ110698,EQ110698,
scf_1106392408107,EQ110697,EQ110697,
scf_1106392408106,EQ110696,EQ110696,
scf_1106392408105,EQ110695,EQ110695,
scf_1106392408104,EQ110694,EQ110694,
scf_1106392408103,EQ110693,EQ110693,
scf_1106392408102,EQ110692,EQ110692,
