current seq_region name,new seq_region name,INSDC accession,Notes
AS2_scf7180000686805,KL639024,KL639024,
AS2_scf7180000686806,KL639025,KL639025,
AS2_scf7180000686807,KL639026,KL639026,
AS2_scf7180000686808,KL639027,KL639027,
AS2_scf7180000686809,KL639028,KL639028,
AS2_scf7180000686810,KL639029,KL639029,
AS2_scf7180000686811,KE523839,KE523839,
AS2_scf7180000686812,KL639030,KL639030,
AS2_scf7180000686813,KE523840,KE523840,
AS2_scf7180000686814,KL639031,KL639031,
AS2_scf7180000686815,KL639032,KL639032,
AS2_scf7180000686816,KL639033,KL639033,
AS2_scf7180000686817,KL639034,KL639034,
AS2_scf7180000686818,KL639035,KL639035,
AS2_scf7180000686819,KL639036,KL639036,
AS2_scf7180000686820,KL639037,KL639037,
AS2_scf7180000686821,KL639038,KL639038,
AS2_scf7180000686822,KL639039,KL639039,
AS2_scf7180000686823,KL639040,KL639040,
AS2_scf7180000686824,KE523841,KE523841,
AS2_scf7180000686825,KE523842,KE523842,
AS2_scf7180000686826,KL639041,KL639041,
AS2_scf7180000686827,KL639042,KL639042,
AS2_scf7180000686828,KL639043,KL639043,
AS2_scf7180000686829,KL639044,KL639044,
AS2_scf7180000686830,KE523843,KE523843,
AS2_scf7180000686831,KL639045,KL639045,
AS2_scf7180000686832,KE523844,KE523844,
AS2_scf7180000686833,KE523845,KE523845,
AS2_scf7180000686834,KL639046,KL639046,
AS2_scf7180000686835,KL639047,KL639047,
AS2_scf7180000686836,KL639048,KL639048,
AS2_scf7180000686837,KL639049,KL639049,
AS2_scf7180000686838,KL639050,KL639050,
AS2_scf7180000686839,KL639051,KL639051,
AS2_scf7180000686840,KL639052,KL639052,
AS2_scf7180000686841,KL639053,KL639053,
AS2_scf7180000686842,KL639054,KL639054,
AS2_scf7180000686843,KL639055,KL639055,
AS2_scf7180000686844,KE523846,KE523846,
AS2_scf7180000686845,KL639056,KL639056,
AS2_scf7180000686846,KL639057,KL639057,
AS2_scf7180000686847,KL639058,KL639058,
AS2_scf7180000686848,KL639059,KL639059,
AS2_scf7180000686849,KL639060,KL639060,
AS2_scf7180000686850,KL639061,KL639061,
AS2_scf7180000686851,KL639062,KL639062,
AS2_scf7180000686852,KL639063,KL639063,
AS2_scf7180000686853,KL639064,KL639064,
AS2_scf7180000686854,KL639065,KL639065,
AS2_scf7180000686855,KL639066,KL639066,
AS2_scf7180000686856,KL639067,KL639067,
AS2_scf7180000686857,KL639068,KL639068,
AS2_scf7180000686858,KL639069,KL639069,
AS2_scf7180000686859,KL639070,KL639070,
AS2_scf7180000686860,KL639071,KL639071,
AS2_scf7180000686861,KL639072,KL639072,
AS2_scf7180000686862,KL639073,KL639073,
AS2_scf7180000686863,KL639074,KL639074,
AS2_scf7180000686864,KL639075,KL639075,
AS2_scf7180000686865,KL639076,KL639076,
AS2_scf7180000686866,KL639077,KL639077,
AS2_scf7180000686867,KL639078,KL639078,
AS2_scf7180000686868,KL639079,KL639079,
AS2_scf7180000686869,KL639080,KL639080,
AS2_scf7180000686870,KL639081,KL639081,
AS2_scf7180000686871,KL639082,KL639082,
AS2_scf7180000686872,KL639083,KL639083,
AS2_scf7180000686873,KL639084,KL639084,
AS2_scf7180000686874,KL639085,KL639085,
AS2_scf7180000686875,KL639086,KL639086,
AS2_scf7180000686876,KL639087,KL639087,
AS2_scf7180000686877,KL639088,KL639088,
AS2_scf7180000686878,KL639089,KL639089,
AS2_scf7180000686879,KE523847,KE523847,
AS2_scf7180000686880,KL639090,KL639090,
AS2_scf7180000686881,KL639091,KL639091,
AS2_scf7180000686882,KL639092,KL639092,
AS2_scf7180000686883,KL639093,KL639093,
AS2_scf7180000686884,KL639094,KL639094,
AS2_scf7180000686885,KL639095,KL639095,
AS2_scf7180000686886,KE523848,KE523848,
AS2_scf7180000686887,KE523849,KE523849,
AS2_scf7180000686888,KL639096,KL639096,
AS2_scf7180000686889,KL639097,KL639097,
AS2_scf7180000686890,KL639098,KL639098,
AS2_scf7180000686891,KL639099,KL639099,
AS2_scf7180000686892,KL639100,KL639100,
AS2_scf7180000686893,KL639101,KL639101,
AS2_scf7180000686894,KL639102,KL639102,
AS2_scf7180000686895,KL639103,KL639103,
AS2_scf7180000686896,KE523850,KE523850,
AS2_scf7180000686897,KL639104,KL639104,
AS2_scf7180000686898,KL639105,KL639105,
AS2_scf7180000686899,KL639106,KL639106,
AS2_scf7180000686900,KL639107,KL639107,
AS2_scf7180000686901,KL639108,KL639108,
AS2_scf7180000686902,KL639109,KL639109,
AS2_scf7180000686903,KL639110,KL639110,
AS2_scf7180000686904,KL639111,KL639111,
AS2_scf7180000686905,KL639112,KL639112,
AS2_scf7180000686906,KL639113,KL639113,
AS2_scf7180000686907,KL639114,KL639114,
AS2_scf7180000686908,KL639115,KL639115,
AS2_scf7180000686909,KL639116,KL639116,
AS2_scf7180000686910,KL639117,KL639117,
AS2_scf7180000686911,KL639118,KL639118,
AS2_scf7180000686912,KL639119,KL639119,
AS2_scf7180000686913,KL639120,KL639120,
AS2_scf7180000686914,KL639121,KL639121,
AS2_scf7180000686915,KL639122,KL639122,
AS2_scf7180000686916,KE523851,KE523851,
AS2_scf7180000686917,KL639123,KL639123,
AS2_scf7180000686918,KL639124,KL639124,
AS2_scf7180000686919,KE523852,KE523852,
AS2_scf7180000686920,KL639125,KL639125,
AS2_scf7180000686921,KE523853,KE523853,
AS2_scf7180000686922,KL639126,KL639126,
AS2_scf7180000686923,KL639127,KL639127,
AS2_scf7180000686924,KL639128,KL639128,
AS2_scf7180000686925,KL639129,KL639129,
AS2_scf7180000686926,KL639130,KL639130,
AS2_scf7180000686927,KL639131,KL639131,
AS2_scf7180000686928,KL639132,KL639132,
AS2_scf7180000686929,KL639133,KL639133,
AS2_scf7180000686930,KL639134,KL639134,
AS2_scf7180000686931,KL639135,KL639135,
AS2_scf7180000686932,KL639136,KL639136,
AS2_scf7180000686933,KL639137,KL639137,
AS2_scf7180000686934,KL639138,KL639138,
AS2_scf7180000686935,KL639139,KL639139,
AS2_scf7180000686936,KE523854,KE523854,
AS2_scf7180000686937,KL639140,KL639140,
AS2_scf7180000686938,KL639141,KL639141,
AS2_scf7180000686939,KL639142,KL639142,
AS2_scf7180000686940,KL639143,KL639143,
AS2_scf7180000686941,KL639144,KL639144,
AS2_scf7180000686942,KL639145,KL639145,
AS2_scf7180000686943,KL639146,KL639146,
AS2_scf7180000686944,KL639147,KL639147,
AS2_scf7180000686945,KL639148,KL639148,
AS2_scf7180000686946,KL639149,KL639149,
AS2_scf7180000686947,KL639150,KL639150,
AS2_scf7180000686948,KL639151,KL639151,
AS2_scf7180000686949,KL639152,KL639152,
AS2_scf7180000686950,KL639153,KL639153,
AS2_scf7180000686951,KE523855,KE523855,
AS2_scf7180000686952,KE523856,KE523856,
AS2_scf7180000686953,KE523857,KE523857,
AS2_scf7180000686954,KL639154,KL639154,
AS2_scf7180000686955,KE523858,KE523858,
AS2_scf7180000686956,KL639155,KL639155,
AS2_scf7180000686957,KL639156,KL639156,
AS2_scf7180000686958,KL639157,KL639157,
AS2_scf7180000686959,KL639158,KL639158,
AS2_scf7180000686960,KL639159,KL639159,
AS2_scf7180000686961,KL639160,KL639160,
AS2_scf7180000686962,KL639161,KL639161,
AS2_scf7180000686963,KE523859,KE523859,
AS2_scf7180000686964,KL639162,KL639162,
AS2_scf7180000686965,KL639163,KL639163,
AS2_scf7180000686966,KL639164,KL639164,
AS2_scf7180000686967,KL639165,KL639165,
AS2_scf7180000686968,KL639166,KL639166,
AS2_scf7180000686969,KL639167,KL639167,
AS2_scf7180000686970,KL639168,KL639168,
AS2_scf7180000686971,KL639169,KL639169,
AS2_scf7180000686972,KL639170,KL639170,
AS2_scf7180000686973,KL639171,KL639171,
AS2_scf7180000686974,KL639172,KL639172,
AS2_scf7180000686975,KL639173,KL639173,
AS2_scf7180000686976,KL639174,KL639174,
AS2_scf7180000686977,KE523860,KE523860,
