current seq_region name,new seq_region name,INSDC accession,Notes
scaffold_00001,KE388890,KE388890,
scaffold_00002,KE388891,KE388891,
scaffold_00003,KE388892,KE388892,
scaffold_00004,KE388893,KE388893,
scaffold_00005,KE388894,KE388894,
scaffold_00006,KE388895,KE388895,
scaffold_00007,KE388896,KE388896,
scaffold_00008,KE388897,KE388897,
scaffold_00009,KE388898,KE388898,
scaffold_00010,KE388899,KE388899,
scaffold_00011,KE388900,KE388900,
scaffold_00012,KE388901,KE388901,
scaffold_00013,KE388902,KE388902,
scaffold_00014,KE388903,KE388903,
scaffold_00015,KE388904,KE388904,
scaffold_00016,KE388905,KE388905,
scaffold_00017,KE388906,KE388906,
scaffold_00018,KE388907,KE388907,
scaffold_00019,KE388908,KE388908,
scaffold_00020,KE388909,KE388909,
scaffold_00021,KE388910,KE388910,
scaffold_00022,KE388911,KE388911,
scaffold_00023,KE388912,KE388912,
scaffold_00024,KE388913,KE388913,
scaffold_00025,KE388914,KE388914,
scaffold_00026,KE388915,KE388915,
scaffold_00027,KE388916,KE388916,
scaffold_00028,KE388917,KE388917,
scaffold_00029,KE388918,KE388918,
scaffold_00030,KE388919,KE388919,
scaffold_00031,KE388920,KE388920,
scaffold_00032,KE388921,KE388921,
scaffold_00033,KE388922,KE388922,
scaffold_00034,KE388923,KE388923,
scaffold_00035,KE388924,KE388924,
scaffold_00036,KE388925,KE388925,
scaffold_00037,KE388926,KE388926,
scaffold_00038,KE388927,KE388927,
scaffold_00039,KE388928,KE388928,
scaffold_00040,KE388929,KE388929,
scaffold_00041,KE388930,KE388930,
scaffold_00042,KE388931,KE388931,
scaffold_00043,KE388932,KE388932,
scaffold_00044,KE388933,KE388933,
scaffold_00045,KE388934,KE388934,
scaffold_00046,KE388935,KE388935,
scaffold_00047,KE388936,KE388936,
scaffold_00048,KE388937,KE388937,
scaffold_00049,KE388938,KE388938,
scaffold_00050,KE388939,KE388939,
scaffold_00051,KE388940,KE388940,
scaffold_00052,KE388941,KE388941,
scaffold_00053,KE388942,KE388942,
scaffold_00054,KE388943,KE388943,
scaffold_00055,KE388944,KE388944,
scaffold_00056,KE388945,KE388945,
scaffold_00057,KE388946,KE388946,
scaffold_00058,KE388947,KE388947,
scaffold_00059,KE388948,KE388948,
scaffold_00060,KE388949,KE388949,
scaffold_00061,KE388950,KE388950,
scaffold_00062,KE388951,KE388951,
scaffold_00063,KE388952,KE388952,
scaffold_00064,KE388953,KE388953,
scaffold_00065,KE388954,KE388954,
scaffold_00066,KE388955,KE388955,
scaffold_00067,KE388956,KE388956,
scaffold_00068,KE388957,KE388957,
scaffold_00069,KE388958,KE388958,
scaffold_00070,KE388959,KE388959,
scaffold_00071,KE388960,KE388960,
scaffold_00072,KE388961,KE388961,
scaffold_00073,KE388962,KE388962,
scaffold_00074,KE388963,KE388963,
scaffold_00075,KE388964,KE388964,
scaffold_00076,KE388965,KE388965,
scaffold_00077,KE388966,KE388966,
scaffold_00078,KE388967,KE388967,
scaffold_00079,KE388968,KE388968,
scaffold_00080,KE388969,KE388969,
scaffold_00081,KE388970,KE388970,
scaffold_00082,KE388971,KE388971,
scaffold_00083,KE388972,KE388972,
scaffold_00084,KE388973,KE388973,
scaffold_00085,KE388974,KE388974,
scaffold_00086,KE388975,KE388975,
scaffold_00087,KE388976,KE388976,
scaffold_00088,KE388977,KE388977,
scaffold_00089,KE388978,KE388978,
scaffold_00090,KE388979,KE388979,
scaffold_00091,KE388980,KE388980,
scaffold_00092,KE388981,KE388981,
scaffold_00093,KE388982,KE388982,
scaffold_00094,KE388983,KE388983,
scaffold_00095,KE388984,KE388984,
scaffold_00096,KE388985,KE388985,
scaffold_00097,KE388986,KE388986,
scaffold_00098,KE388987,KE388987,
scaffold_00099,KE388988,KE388988,
scaffold_00100,KE388989,KE388989,
scaffold_00101,KE388990,KE388990,
scaffold_00102,KE388991,KE388991,
scaffold_00103,KE388992,KE388992,
scaffold_00104,KE388993,KE388993,
scaffold_00105,KE388994,KE388994,
scaffold_00106,KE388995,KE388995,
scaffold_00107,KE388996,KE388996,
scaffold_00108,KE388997,KE388997,
scaffold_00109,KE388998,KE388998,
scaffold_00110,KE388999,KE388999,
scaffold_00111,KE389000,KE389000,
scaffold_00112,KE389001,KE389001,
scaffold_00113,KE389002,KE389002,
scaffold_00114,KE389003,KE389003,
scaffold_00115,KE389004,KE389004,
scaffold_00116,KE389005,KE389005,
scaffold_00117,KE389006,KE389006,
scaffold_00118,KE389007,KE389007,
scaffold_00119,KE389008,KE389008,
scaffold_00120,KE389009,KE389009,
scaffold_00121,KE389010,KE389010,
scaffold_00122,KE389011,KE389011,
scaffold_00123,KE389012,KE389012,
scaffold_00124,KE389013,KE389013,
scaffold_00125,KE389014,KE389014,
scaffold_00126,KE389015,KE389015,
scaffold_00127,KE389016,KE389016,
scaffold_00128,KE389017,KE389017,
scaffold_00129,KE389018,KE389018,
scaffold_00130,KE389019,KE389019,
scaffold_00131,KE389020,KE389020,
scaffold_00132,KE389021,KE389021,
scaffold_00133,KE389022,KE389022,
scaffold_00134,KE389023,KE389023,
scaffold_00135,KE389024,KE389024,
scaffold_00136,KE389025,KE389025,
scaffold_00137,KE389026,KE389026,
scaffold_00138,KE389027,KE389027,
scaffold_00139,KE389028,KE389028,
scaffold_00140,KE389029,KE389029,
scaffold_00141,KE389030,KE389030,
scaffold_00142,KE389031,KE389031,
scaffold_00143,KE389032,KE389032,
scaffold_00144,KE389033,KE389033,
scaffold_00145,KE389034,KE389034,
scaffold_00146,KE389035,KE389035,
scaffold_00147,KE389036,KE389036,
scaffold_00148,KE389037,KE389037,
scaffold_00149,KE389038,KE389038,
scaffold_00150,KE389039,KE389039,
scaffold_00151,KE389040,KE389040,
scaffold_00152,KE389041,KE389041,
scaffold_00153,KE389042,KE389042,
scaffold_00154,KE389043,KE389043,
scaffold_00155,KE389044,KE389044,
scaffold_00156,KE389045,KE389045,
scaffold_00157,KE389046,KE389046,
scaffold_00158,KE389047,KE389047,
scaffold_00159,KE389048,KE389048,
scaffold_00160,KE389049,KE389049,
scaffold_00161,KE389050,KE389050,
scaffold_00162,KE389051,KE389051,
scaffold_00163,KE389052,KE389052,
scaffold_00164,KE389053,KE389053,
scaffold_00165,KE389054,KE389054,
scaffold_00166,KE389055,KE389055,
scaffold_00167,KE389056,KE389056,
scaffold_00168,KE389057,KE389057,
scaffold_00169,KE389058,KE389058,
scaffold_00170,KE389059,KE389059,
scaffold_00171,KE389060,KE389060,
scaffold_00172,KE389061,KE389061,
scaffold_00173,KE389062,KE389062,
scaffold_00174,KE389063,KE389063,
scaffold_00175,KE389064,KE389064,
scaffold_00176,KE389065,KE389065,
scaffold_00177,KE389066,KE389066,
scaffold_00178,KE389067,KE389067,
scaffold_00179,KE389068,KE389068,
scaffold_00180,KE389069,KE389069,
scaffold_00181,KE389070,KE389070,
scaffold_00182,KE389071,KE389071,
scaffold_00183,KE389072,KE389072,
scaffold_00184,KE389073,KE389073,
scaffold_00185,KE389074,KE389074,
scaffold_00186,KE389075,KE389075,
scaffold_00187,KE389076,KE389076,
scaffold_00188,KE389077,KE389077,
scaffold_00189,KE389078,KE389078,
scaffold_00190,KE389079,KE389079,
scaffold_00191,KE389080,KE389080,
scaffold_00192,KE389081,KE389081,
scaffold_00193,KE389082,KE389082,
scaffold_00194,KE389083,KE389083,
scaffold_00195,KE389084,KE389084,
scaffold_00196,KE389085,KE389085,
scaffold_00197,KE389086,KE389086,
scaffold_00198,KE389087,KE389087,
scaffold_00199,KE389088,KE389088,
scaffold_00200,KE389089,KE389089,
scaffold_00201,KE389090,KE389090,
scaffold_00202,KE389091,KE389091,
scaffold_00203,KE389092,KE389092,
scaffold_00204,KE389093,KE389093,
scaffold_00205,ALPR02008063,ALPR02008063,
scaffold_00206,KE389094,KE389094,
scaffold_00207,KE389095,KE389095,
scaffold_00208,KE389096,KE389096,
scaffold_00209,KE389097,KE389097,
scaffold_00210,KE389098,KE389098,
scaffold_00211,KE389099,KE389099,
scaffold_00212,KE389100,KE389100,
scaffold_00213,KE389101,KE389101,
scaffold_00214,KE389102,KE389102,
scaffold_00215,KE389103,KE389103,
scaffold_00216,KE389104,KE389104,
scaffold_00217,KE389105,KE389105,
scaffold_00218,KE389106,KE389106,
scaffold_00219,KE389107,KE389107,
scaffold_00220,KE389108,KE389108,
scaffold_00221,KE389109,KE389109,
scaffold_00222,KE389110,KE389110,
scaffold_00223,KE389111,KE389111,
scaffold_00224,KE389112,KE389112,
scaffold_00225,KE389113,KE389113,
scaffold_00226,KE389114,KE389114,
scaffold_00227,KE389115,KE389115,
scaffold_00228,KE389116,KE389116,
scaffold_00229,KE389117,KE389117,
scaffold_00230,KE389118,KE389118,
scaffold_00231,KE389119,KE389119,
scaffold_00232,KE389120,KE389120,
scaffold_00233,KE389121,KE389121,
scaffold_00234,KE389122,KE389122,
scaffold_00235,KE389123,KE389123,
scaffold_00236,KE389124,KE389124,
scaffold_00237,KE389125,KE389125,
scaffold_00238,KE389126,KE389126,
scaffold_00239,KE389127,KE389127,
scaffold_00240,KE389128,KE389128,
scaffold_00241,ALPR02008244,ALPR02008244,
scaffold_00242,KE389129,KE389129,
scaffold_00243,KE389130,KE389130,
scaffold_00244,KE389131,KE389131,
scaffold_00245,ALPR02008258,ALPR02008258,
scaffold_00246,KE389132,KE389132,
scaffold_00247,ALPR02008264,ALPR02008264,
scaffold_00248,KE389133,KE389133,
scaffold_00249,KE389134,KE389134,
scaffold_00250,KE389135,KE389135,
scaffold_00251,KE389136,KE389136,
scaffold_00252,KE389137,KE389137,
scaffold_00253,ALPR02008288,ALPR02008288,
scaffold_00254,KE389138,KE389138,
scaffold_00255,KE389139,KE389139,
scaffold_00256,KE389140,KE389140,
scaffold_00257,KE389141,KE389141,
scaffold_00258,ALPR02008305,ALPR02008305,
scaffold_00259,KE389142,KE389142,
scaffold_00260,KE389143,KE389143,
scaffold_00261,ALPR02008313,ALPR02008313,
scaffold_00262,KE389144,KE389144,
scaffold_00263,KE389145,KE389145,
scaffold_00264,KE389146,KE389146,
scaffold_00265,KE389147,KE389147,
scaffold_00266,KE389148,KE389148,
scaffold_00267,KE389149,KE389149,
scaffold_00268,KE389150,KE389150,
scaffold_00269,KE389151,KE389151,
scaffold_00270,KE389152,KE389152,
scaffold_00271,KE389153,KE389153,
scaffold_00272,KE389154,KE389154,
scaffold_00273,KE389155,KE389155,
scaffold_00274,KE389156,KE389156,
scaffold_00275,KE389157,KE389157,
scaffold_00276,KE389158,KE389158,
scaffold_00277,KE389159,KE389159,
scaffold_00278,ALPR02008363,ALPR02008363,
scaffold_00279,ALPR02008364,ALPR02008364,
scaffold_00280,KE389160,KE389160,
scaffold_00281,KE389161,KE389161,
scaffold_00282,KE389162,KE389162,
scaffold_00283,KE389163,KE389163,
scaffold_00284,ALPR02008376,ALPR02008376,
scaffold_00285,KE389164,KE389164,
scaffold_00286,KE389165,KE389165,
