current seq_region name,new seq_region name,INSDC accession,Notes
Mt,CpipJ2_Mt,GU188856,
supercont3.1,DS231813,DS231813,
supercont3.10,DS231822,DS231822,
supercont3.100,DS231912,DS231912,
supercont3.1000,DS232812,DS232812,
supercont3.1001,DS232813,DS232813,
supercont3.1002,DS232814,DS232814,
supercont3.1003,DS232815,DS232815,
supercont3.1004,DS232816,DS232816,
supercont3.1005,DS232817,DS232817,
supercont3.1006,DS232818,DS232818,
supercont3.1007,DS232819,DS232819,
supercont3.1008,DS232820,DS232820,
supercont3.1009,DS232821,DS232821,
supercont3.101,DS231913,DS231913,
supercont3.1010,DS232822,DS232822,
supercont3.1011,DS232823,DS232823,
supercont3.1012,DS232824,DS232824,
supercont3.1013,DS232825,DS232825,
supercont3.1014,DS232826,DS232826,
supercont3.1015,DS232827,DS232827,
supercont3.1016,DS232828,DS232828,
supercont3.1017,DS232829,DS232829,
supercont3.1018,DS232830,DS232830,
supercont3.1019,DS232831,DS232831,
supercont3.102,DS231914,DS231914,
supercont3.1020,DS232832,DS232832,
supercont3.1021,DS232833,DS232833,
supercont3.1022,DS232834,DS232834,
supercont3.1023,DS232835,DS232835,
supercont3.1024,DS232836,DS232836,
supercont3.1025,DS232837,DS232837,
supercont3.1026,DS232838,DS232838,
supercont3.1027,DS232839,DS232839,
supercont3.1028,DS232840,DS232840,
supercont3.1029,DS232841,DS232841,
supercont3.103,DS231915,DS231915,
supercont3.1030,DS232842,DS232842,
supercont3.1031,DS232843,DS232843,
supercont3.1032,DS232844,DS232844,
supercont3.1033,DS232845,DS232845,
supercont3.1034,DS232846,DS232846,
supercont3.1035,DS232847,DS232847,
supercont3.1036,DS232848,DS232848,
supercont3.1037,DS232849,DS232849,
supercont3.1038,DS232850,DS232850,
supercont3.1039,DS232851,DS232851,
supercont3.104,DS231916,DS231916,
supercont3.1040,DS232852,DS232852,
supercont3.1041,DS232853,DS232853,
supercont3.1042,DS232854,DS232854,
supercont3.1043,DS232855,DS232855,
supercont3.1044,DS232856,DS232856,
supercont3.1045,DS232857,DS232857,
supercont3.1046,DS232858,DS232858,
supercont3.1047,DS232859,DS232859,
supercont3.1048,DS232860,DS232860,
supercont3.1049,DS232861,DS232861,
supercont3.105,DS231917,DS231917,
supercont3.1050,DS232862,DS232862,
supercont3.1051,DS232863,DS232863,
supercont3.1052,DS232864,DS232864,
supercont3.1053,DS232865,DS232865,
supercont3.1054,DS232866,DS232866,
supercont3.1055,DS232867,DS232867,
supercont3.1056,DS232868,DS232868,
supercont3.1057,DS232869,DS232869,
supercont3.1058,DS232870,DS232870,
supercont3.1059,DS232871,DS232871,
supercont3.106,DS231918,DS231918,
supercont3.1060,DS232872,DS232872,
supercont3.1061,DS232873,DS232873,
supercont3.1062,DS232874,DS232874,
supercont3.1063,DS232875,DS232875,
supercont3.1064,DS232876,DS232876,
supercont3.1065,DS232877,DS232877,
supercont3.1066,DS232878,DS232878,
supercont3.1067,DS232879,DS232879,
supercont3.1068,DS232880,DS232880,
supercont3.1069,DS232881,DS232881,
supercont3.107,DS231919,DS231919,
supercont3.1070,DS232882,DS232882,
supercont3.1071,DS232883,DS232883,
supercont3.1072,DS232884,DS232884,
supercont3.1073,DS232885,DS232885,
supercont3.1074,DS232886,DS232886,
supercont3.1075,DS232887,DS232887,
supercont3.1076,DS232888,DS232888,
supercont3.1077,DS232889,DS232889,
supercont3.1078,DS232890,DS232890,
supercont3.1079,DS232891,DS232891,
supercont3.108,DS231920,DS231920,
supercont3.1080,DS232892,DS232892,
supercont3.1081,DS232893,DS232893,
supercont3.1082,DS232894,DS232894,
supercont3.1083,DS232895,DS232895,
supercont3.1084,DS232896,DS232896,
supercont3.1085,DS232897,DS232897,
supercont3.1086,DS232898,DS232898,
supercont3.1087,DS232899,DS232899,
supercont3.1088,DS232900,DS232900,
supercont3.1089,DS232901,DS232901,
supercont3.109,DS231921,DS231921,
supercont3.1090,DS232902,DS232902,
supercont3.1091,DS232903,DS232903,
supercont3.1092,DS232904,DS232904,
supercont3.1093,DS232905,DS232905,
supercont3.1094,DS232906,DS232906,
supercont3.1095,DS232907,DS232907,
supercont3.1096,DS232908,DS232908,
supercont3.1097,DS232909,DS232909,
supercont3.1098,DS232910,DS232910,
supercont3.1099,DS232911,DS232911,
supercont3.11,DS231823,DS231823,
supercont3.110,DS231922,DS231922,
supercont3.1100,DS232912,DS232912,
supercont3.1101,DS232913,DS232913,
supercont3.1102,DS232914,DS232914,
supercont3.1103,DS232915,DS232915,
supercont3.1104,DS232916,DS232916,
supercont3.1105,DS232917,DS232917,
supercont3.1106,DS232918,DS232918,
supercont3.1107,DS232919,DS232919,
supercont3.1108,DS232920,DS232920,
supercont3.1109,DS232921,DS232921,
supercont3.111,DS231923,DS231923,
supercont3.1110,DS232922,DS232922,
supercont3.1111,DS232923,DS232923,
supercont3.1112,DS232924,DS232924,
supercont3.1113,DS232925,DS232925,
supercont3.1114,DS232926,DS232926,
supercont3.1115,DS232927,DS232927,
supercont3.1116,DS232928,DS232928,
supercont3.1117,DS232929,DS232929,
supercont3.1118,DS232930,DS232930,
supercont3.1119,DS232931,DS232931,
supercont3.112,DS231924,DS231924,
supercont3.1120,DS232932,DS232932,
supercont3.1121,DS232933,DS232933,
supercont3.1122,DS232934,DS232934,
supercont3.1123,DS232935,DS232935,
supercont3.1124,DS232936,DS232936,
supercont3.1125,DS232937,DS232937,
supercont3.1126,DS232938,DS232938,
supercont3.1127,DS232939,DS232939,
supercont3.1128,DS232940,DS232940,
supercont3.1129,DS232941,DS232941,
supercont3.113,DS231925,DS231925,
supercont3.1130,DS232942,DS232942,
supercont3.1131,DS232943,DS232943,
supercont3.1132,DS232944,DS232944,
supercont3.1133,DS232945,DS232945,
supercont3.1134,DS232946,DS232946,
supercont3.1135,DS232947,DS232947,
supercont3.1136,DS232948,DS232948,
supercont3.1137,DS232949,DS232949,
supercont3.1138,DS232950,DS232950,
supercont3.1139,DS232951,DS232951,
supercont3.114,DS231926,DS231926,
supercont3.1140,DS232952,DS232952,
supercont3.1141,DS232953,DS232953,
supercont3.1142,DS232954,DS232954,
supercont3.1143,DS232955,DS232955,
supercont3.1144,DS232956,DS232956,
supercont3.1145,DS232957,DS232957,
supercont3.1146,DS232958,DS232958,
supercont3.1147,DS232959,DS232959,
supercont3.1148,DS232960,DS232960,
supercont3.1149,DS232961,DS232961,
supercont3.115,DS231927,DS231927,
supercont3.1150,DS232962,DS232962,
supercont3.1151,DS232963,DS232963,
supercont3.1152,DS232964,DS232964,
supercont3.1153,DS232965,DS232965,
supercont3.1154,DS232966,DS232966,
supercont3.1155,DS232967,DS232967,
supercont3.1156,DS232968,DS232968,
supercont3.1157,DS232969,DS232969,
supercont3.1158,DS232970,DS232970,
supercont3.1159,DS232971,DS232971,
supercont3.116,DS231928,DS231928,
supercont3.1160,DS232972,DS232972,
supercont3.1161,DS232973,DS232973,
supercont3.1162,DS232974,DS232974,
supercont3.1163,DS232975,DS232975,
supercont3.1164,DS232976,DS232976,
supercont3.1165,DS232977,DS232977,
supercont3.1166,DS232978,DS232978,
supercont3.1167,DS232979,DS232979,
supercont3.1168,DS232980,DS232980,
supercont3.1169,DS232981,DS232981,
supercont3.117,DS231929,DS231929,
supercont3.1170,DS232982,DS232982,
supercont3.1171,DS232983,DS232983,
supercont3.1172,DS232984,DS232984,
supercont3.1173,DS232985,DS232985,
supercont3.1174,DS232986,DS232986,
supercont3.1175,DS232987,DS232987,
supercont3.1176,DS232988,DS232988,
supercont3.1177,DS232989,DS232989,
supercont3.1178,DS232990,DS232990,
supercont3.1179,DS232991,DS232991,
supercont3.118,DS231930,DS231930,
supercont3.1180,DS232992,DS232992,
supercont3.1181,DS232993,DS232993,
supercont3.1182,DS232994,DS232994,
supercont3.1183,DS232995,DS232995,
supercont3.1184,DS232996,DS232996,
supercont3.1185,DS232997,DS232997,
supercont3.1186,DS232998,DS232998,
supercont3.1187,DS232999,DS232999,
supercont3.1188,DS233000,DS233000,
supercont3.1189,DS233001,DS233001,
supercont3.119,DS231931,DS231931,
supercont3.1190,DS233002,DS233002,
supercont3.1191,DS233003,DS233003,
supercont3.1192,DS233004,DS233004,
supercont3.1193,DS233005,DS233005,
supercont3.1194,DS233006,DS233006,
supercont3.1195,DS233007,DS233007,
supercont3.1196,DS233008,DS233008,
supercont3.1197,DS233009,DS233009,
supercont3.1198,DS233010,DS233010,
supercont3.1199,DS233011,DS233011,
supercont3.12,DS231824,DS231824,
supercont3.120,DS231932,DS231932,
supercont3.1200,DS233012,DS233012,
supercont3.1201,DS233013,DS233013,
supercont3.1202,DS233014,DS233014,
supercont3.1203,DS233015,DS233015,
supercont3.1204,DS233016,DS233016,
supercont3.1205,DS233017,DS233017,
supercont3.1206,DS233018,DS233018,
supercont3.1207,DS233019,DS233019,
supercont3.1208,DS233020,DS233020,
supercont3.1209,DS233021,DS233021,
supercont3.121,DS231933,DS231933,
supercont3.1210,DS233022,DS233022,
supercont3.1211,DS233023,DS233023,
