current seq_region name,new seq_region name,INSDC accession,Notes
Scaffold0,KK502400,KK502400,
Scaffold1,KK502401,KK502401,
Scaffold2,KK502402,KK502402,
Scaffold3,KK502403,KK502403,
Scaffold4,KK502404,KK502404,
Scaffold5,KK502405,KK502405,
Scaffold6,KK502406,KK502406,
Scaffold7,KK502407,KK502407,
Scaffold8,KK502408,KK502408,
Scaffold9,KK502409,KK502409,
Scaffold10,KK502410,KK502410,
Scaffold11,KK502411,KK502411,
Scaffold12,KK502412,KK502412,
Scaffold13,KK502413,KK502413,
Scaffold14,KK502414,KK502414,
Scaffold15,KK502415,KK502415,
Scaffold16,KK502416,KK502416,
Scaffold17,KK502417,KK502417,
Scaffold18,KK502418,KK502418,
Scaffold19,KK502419,KK502419,
Scaffold20,KK502420,KK502420,
Scaffold21,KK502421,KK502421,
Scaffold22,KK502422,KK502422,
Scaffold23,KK502423,KK502423,
Scaffold24,KK502424,KK502424,
Scaffold25,KK502425,KK502425,
Scaffold26,KK502426,KK502426,
Scaffold27,KK502427,KK502427,
Scaffold28,KK502428,KK502428,
Scaffold29,KK502429,KK502429,
Scaffold30,KK502430,KK502430,
Scaffold31,KK502431,KK502431,
Scaffold32,KK502432,KK502432,
Scaffold33,KK502433,KK502433,
Scaffold34,KK502434,KK502434,
Scaffold35,KK502435,KK502435,
Scaffold36,KK502436,KK502436,
Scaffold37,KK502437,KK502437,
Scaffold38,KK502438,KK502438,
Scaffold39,KK502439,KK502439,
Scaffold40,KK502440,KK502440,
Scaffold41,KK502441,KK502441,
Scaffold42,KK502442,KK502442,
Scaffold43,KK502443,KK502443,
Scaffold44,KK502444,KK502444,
Scaffold45,KK502445,KK502445,
Scaffold46,KK502446,KK502446,
Scaffold47,KK502447,KK502447,
Scaffold48,KK502448,KK502448,
Scaffold49,KK502449,KK502449,
Scaffold50,KK502450,KK502450,
Scaffold51,KK502451,KK502451,
Scaffold52,KK502452,KK502452,
Scaffold53,KK502453,KK502453,
Scaffold54,KK502454,KK502454,
Scaffold55,KK502455,KK502455,
Scaffold56,KK502456,KK502456,
Scaffold57,KK502457,KK502457,
Scaffold58,KK502458,KK502458,
Scaffold59,KK502459,KK502459,
Scaffold60,KK502460,KK502460,
Scaffold61,KK502461,KK502461,
Scaffold62,KK502462,KK502462,
Scaffold63,KK502463,KK502463,
Scaffold64,KK502464,KK502464,
Scaffold65,KK502465,KK502465,
Scaffold66,KK502466,KK502466,
Scaffold67,KK502467,KK502467,
Scaffold68,KK502468,KK502468,
Scaffold69,KK502469,KK502469,
Scaffold70,KK502470,KK502470,
Scaffold71,KK502471,KK502471,
Scaffold72,KK502472,KK502472,
Scaffold73,KK502473,KK502473,
Scaffold74,KK502474,KK502474,
Scaffold75,KK502475,KK502475,
Scaffold76,KK502476,KK502476,
Scaffold77,KK502477,KK502477,
Scaffold78,KK502478,KK502478,
Scaffold79,KK502479,KK502479,
Scaffold80,KK502480,KK502480,
Scaffold81,KK502481,KK502481,
Scaffold82,KK502482,KK502482,
Scaffold83,KK502483,KK502483,
Scaffold84,KK502484,KK502484,
Scaffold85,KK502485,KK502485,
Scaffold86,KK502486,KK502486,
Scaffold87,KK502487,KK502487,
Scaffold88,KK502488,KK502488,
Scaffold89,KK502489,KK502489,
Scaffold90,KK502490,KK502490,
Scaffold91,KK502491,KK502491,
Scaffold92,KK502492,KK502492,
Scaffold93,KK502493,KK502493,
Scaffold94,KK502494,KK502494,
Scaffold95,KK502495,KK502495,
Scaffold96,KK502496,KK502496,
Scaffold97,KK502497,KK502497,
Scaffold98,KK502498,KK502498,
Scaffold99,KK502499,KK502499,
Scaffold100,KK502500,KK502500,
Scaffold101,KK502501,KK502501,
Scaffold102,KK502502,KK502502,
Scaffold103,KK502503,KK502503,
Scaffold104,KK502504,KK502504,
Scaffold105,KK502505,KK502505,
Scaffold106,KK502506,KK502506,
Scaffold107,KK502507,KK502507,
Scaffold108,KK502508,KK502508,
Scaffold109,KK502509,KK502509,
Scaffold110,KK502510,KK502510,
Scaffold111,KK502511,KK502511,
Scaffold112,KK502512,KK502512,
Scaffold113,KK502513,KK502513,
Scaffold114,KK502514,KK502514,
Scaffold115,KK502515,KK502515,
Scaffold116,KK502516,KK502516,
Scaffold117,KK502517,KK502517,
Scaffold118,KK502518,KK502518,
Scaffold119,KK502519,KK502519,
Scaffold120,KK502520,KK502520,
Scaffold121,KK502521,KK502521,
Scaffold122,KK502522,KK502522,
Scaffold123,KK502523,KK502523,
Scaffold124,KK502524,KK502524,
Scaffold125,KK502525,KK502525,
Scaffold126,KK502526,KK502526,
