current seq_region name,new seq_region name,INSDC accession,Notes
Scaffold0,KK351011,KK351011,
Scaffold1,KK351012,KK351012,
Scaffold2,KK351013,KK351013,
Scaffold3,KK351014,KK351014,
Scaffold4,KK351015,KK351015,
Scaffold5,KK351016,KK351016,
Scaffold6,KK351017,KK351017,
Scaffold7,KK351018,KK351018,
Scaffold8,KK351019,KK351019,
Scaffold9,KK351020,KK351020,
Scaffold10,KK351021,KK351021,
Scaffold11,KK351022,KK351022,
Scaffold12,KK351023,KK351023,
Scaffold13,KK351024,KK351024,
Scaffold14,KK351025,KK351025,
Scaffold15,KK351026,KK351026,
Scaffold16,KK351027,KK351027,
Scaffold17,KK351028,KK351028,
Scaffold18,KK351029,KK351029,
Scaffold19,KK351030,KK351030,
Scaffold20,KK351031,KK351031,
Scaffold21,KK351032,KK351032,
Scaffold22,KK351033,KK351033,
Scaffold23,KK351034,KK351034,
Scaffold24,KK351035,KK351035,
Scaffold25,KK351036,KK351036,
Scaffold26,KK351037,KK351037,
Scaffold27,KK351038,KK351038,
Scaffold28,KK351039,KK351039,
Scaffold29,KK351040,KK351040,
Scaffold30,KK351041,KK351041,
Scaffold31,KK351042,KK351042,
Scaffold32,KK351043,KK351043,
Scaffold33,KK351044,KK351044,
Scaffold34,KK351045,KK351045,
Scaffold35,KK351046,KK351046,
Scaffold36,KK351047,KK351047,
Scaffold37,KK351048,KK351048,
Scaffold38,KK351049,KK351049,
Scaffold39,KK351050,KK351050,
Scaffold40,KK351051,KK351051,
Scaffold41,KK351052,KK351052,
Scaffold42,KK351053,KK351053,
Scaffold43,KK351054,KK351054,
Scaffold44,KK351055,KK351055,
Scaffold45,KK351056,KK351056,
Scaffold46,KK351057,KK351057,
Scaffold47,KK351058,KK351058,
Scaffold48,KK351059,KK351059,
Scaffold49,KK351060,KK351060,
Scaffold50,KK351061,KK351061,
Scaffold51,KK351062,KK351062,
Scaffold52,KK351063,KK351063,
Scaffold53,KK351064,KK351064,
Scaffold54,KK351065,KK351065,
Scaffold55,KK351066,KK351066,
Scaffold56,KK351067,KK351067,
Scaffold57,KK351068,KK351068,
Scaffold58,KK351069,KK351069,
Scaffold59,KK351070,KK351070,
Scaffold60,KK351071,KK351071,
Scaffold61,KK351072,KK351072,
Scaffold62,KK351073,KK351073,
Scaffold63,KK351074,KK351074,
Scaffold64,KK351075,KK351075,
Scaffold65,KK351076,KK351076,
Scaffold66,KK351077,KK351077,
Scaffold67,KK351078,KK351078,
Scaffold68,KK351079,KK351079,
Scaffold69,KK351080,KK351080,
Scaffold70,KK351081,KK351081,
Scaffold71,KK351082,KK351082,
Scaffold72,KK351083,KK351083,
Scaffold73,KK351084,KK351084,
Scaffold74,KK351085,KK351085,
Scaffold75,KK351086,KK351086,
Scaffold76,KK351087,KK351087,
Scaffold77,KK351088,KK351088,
Scaffold78,KK351089,KK351089,
Scaffold79,KK351090,KK351090,
Scaffold80,KK351091,KK351091,
Scaffold81,KK351092,KK351092,
Scaffold82,KK351093,KK351093,
Scaffold83,KK351094,KK351094,
Scaffold84,KK351095,KK351095,
Scaffold85,KK351096,KK351096,
Scaffold86,KK351097,KK351097,
Scaffold87,KK351098,KK351098,
Scaffold88,KK351099,KK351099,
Scaffold89,KK351100,KK351100,
Scaffold90,KK351101,KK351101,
Scaffold91,KK351102,KK351102,
Scaffold92,KK351103,KK351103,
Scaffold93,KK351104,KK351104,
Scaffold94,KK351105,KK351105,
Scaffold95,KK351106,KK351106,
Scaffold96,KK351107,KK351107,
Scaffold97,KK351108,KK351108,
Scaffold98,KK351109,KK351109,
Scaffold99,KK351110,KK351110,
Scaffold100,KK351111,KK351111,
