current seq_region name,new seq_region name,INSDC accession,Notes
Scaffold0,KK351785,KK351785,
Scaffold1,KK351786,KK351786,
Scaffold2,KK351787,KK351787,
Scaffold3,KK351788,KK351788,
Scaffold4,KK351789,KK351789,
Scaffold5,KK351790,KK351790,
Scaffold6,KK351791,KK351791,
Scaffold7,KK351792,KK351792,
Scaffold8,KK351793,KK351793,
Scaffold9,KK351794,KK351794,
Scaffold10,KK351795,KK351795,
Scaffold11,KK351796,KK351796,
Scaffold12,KK351797,KK351797,
Scaffold13,KK351798,KK351798,
Scaffold14,KK351799,KK351799,
Scaffold15,KK351800,KK351800,
Scaffold16,KK351801,KK351801,
Scaffold17,KK351802,KK351802,
Scaffold18,KK351803,KK351803,
Scaffold19,KK351804,KK351804,
Scaffold20,KK351805,KK351805,
Scaffold21,KK351806,KK351806,
Scaffold22,KK351807,KK351807,
Scaffold23,KK351808,KK351808,
Scaffold24,KK351809,KK351809,
Scaffold25,KK351810,KK351810,
Scaffold26,KK351811,KK351811,
Scaffold27,KK351812,KK351812,
Scaffold28,KK351813,KK351813,
Scaffold29,KK351814,KK351814,
Scaffold30,KK351815,KK351815,
Scaffold31,KK351816,KK351816,
Scaffold32,KK351817,KK351817,
Scaffold33,KK351818,KK351818,
Scaffold34,KK351819,KK351819,
Scaffold35,KK351820,KK351820,
Scaffold36,KK351821,KK351821,
Scaffold37,KK351822,KK351822,
Scaffold38,KK351823,KK351823,
Scaffold39,KK351824,KK351824,
Scaffold40,KK351825,KK351825,
Scaffold41,KK351826,KK351826,
Scaffold42,KK351827,KK351827,
Scaffold43,KK351828,KK351828,
Scaffold44,KK351829,KK351829,
Scaffold45,KK351830,KK351830,
Scaffold46,KK351831,KK351831,
Scaffold47,KK351832,KK351832,
Scaffold48,KK351833,KK351833,
Scaffold49,KK351834,KK351834,
Scaffold50,KK351835,KK351835,
Scaffold51,KK351836,KK351836,
Scaffold52,KK351837,KK351837,
Scaffold53,KK351838,KK351838,
Scaffold54,KK351839,KK351839,
Scaffold55,KK351840,KK351840,
Scaffold56,KK351841,KK351841,
Scaffold57,KK351842,KK351842,
Scaffold58,KK351843,KK351843,
Scaffold59,KK351844,KK351844,
Scaffold60,KK351845,KK351845,
Scaffold61,KK351846,KK351846,
Scaffold62,KK351847,KK351847,
Scaffold63,KK351848,KK351848,
Scaffold64,KK351849,KK351849,
Scaffold65,KK351850,KK351850,
Scaffold66,KK351851,KK351851,
Scaffold67,KK351852,KK351852,
Scaffold68,KK351853,KK351853,
Scaffold69,KK351854,KK351854,
Scaffold70,KK351855,KK351855,
Scaffold71,KK351856,KK351856,
Scaffold72,KK351857,KK351857,
Scaffold73,KK351858,KK351858,
Scaffold74,KK351859,KK351859,
Scaffold75,KK351860,KK351860,
Scaffold76,KK351861,KK351861,
Scaffold77,KK351862,KK351862,
Scaffold78,KK351863,KK351863,
Scaffold79,KK351864,KK351864,
Scaffold80,KK351865,KK351865,
Scaffold81,KK351866,KK351866,
Scaffold82,KK351867,KK351867,
Scaffold83,KK351868,KK351868,
Scaffold84,KK351869,KK351869,
Scaffold85,KK351870,KK351870,
Scaffold86,KK351871,KK351871,
Scaffold87,KK351872,KK351872,
Scaffold88,KK351873,KK351873,
Scaffold89,KK351874,KK351874,
Scaffold90,KK351875,KK351875,
Scaffold91,KK351876,KK351876,
Scaffold92,KK351877,KK351877,
Scaffold93,KK351878,KK351878,
Scaffold94,KK351879,KK351879,
Scaffold95,KK351880,KK351880,
Scaffold96,KK351881,KK351881,
Scaffold97,KK351882,KK351882,
Scaffold98,KK351883,KK351883,
Scaffold99,KK351884,KK351884,
Scaffold100,KK351885,KK351885,
Scaffold101,KK351886,KK351886,
Scaffold102,KK351887,KK351887,
Scaffold103,KK351888,KK351888,
Scaffold104,KK351889,KK351889,
Scaffold105,KK351890,KK351890,
Scaffold106,KK351891,KK351891,
Scaffold107,KK351892,KK351892,
Scaffold108,KK351893,KK351893,
Scaffold109,KK351894,KK351894,
Scaffold110,KK351895,KK351895,
Scaffold111,KK351896,KK351896,
Scaffold112,KK351897,KK351897,
Scaffold113,KK351898,KK351898,
Scaffold114,KK351899,KK351899,
Scaffold115,KK351900,KK351900,
Scaffold116,KK351901,KK351901,
Scaffold117,KK351902,KK351902,
Scaffold118,KK351903,KK351903,
Scaffold119,KK351904,KK351904,
Scaffold120,KK351905,KK351905,
Scaffold121,KK351906,KK351906,
Scaffold122,KK351907,KK351907,
Scaffold123,KK351908,KK351908,
Scaffold124,KK351909,KK351909,
Scaffold125,KK351910,KK351910,
Scaffold126,KK351911,KK351911,
Scaffold127,KK351912,KK351912,
Scaffold128,KK351913,KK351913,
Scaffold129,KK351914,KK351914,
Scaffold130,KK351915,KK351915,
Scaffold131,KK351916,KK351916,
Scaffold132,KK351917,KK351917,
Scaffold133,KK351918,KK351918,
Scaffold134,KK351919,KK351919,
Scaffold135,KK351920,KK351920,
Scaffold136,KK351921,KK351921,
Scaffold137,KK351922,KK351922,
Scaffold138,KK351923,KK351923,
Scaffold139,KK351924,KK351924,
Scaffold140,KK351925,KK351925,
Scaffold141,KK351926,KK351926,
Scaffold142,KK351927,KK351927,
Scaffold143,KK351928,KK351928,
Scaffold144,KK351929,KK351929,
Scaffold145,KK351930,KK351930,
Scaffold146,KK351931,KK351931,
Scaffold147,KK351932,KK351932,
Scaffold148,KK351933,KK351933,
Scaffold149,KK351934,KK351934,
Scaffold150,KK351935,KK351935,
Scaffold151,KK351936,KK351936,
Scaffold152,KK351937,KK351937,
Scaffold153,KK351938,KK351938,
Scaffold154,KK351939,KK351939,
Scaffold155,KK351940,KK351940,
Scaffold156,KK351941,KK351941,
Scaffold157,KK351942,KK351942,
Scaffold158,KK351943,KK351943,
Scaffold159,KK351944,KK351944,
Scaffold160,KK351945,KK351945,
Scaffold161,KK351946,KK351946,
Scaffold162,KK351947,KK351947,
Scaffold163,KK351948,KK351948,
Scaffold164,KK351949,KK351949,
Scaffold165,KK351950,KK351950,
Scaffold166,KK351951,KK351951,
Scaffold167,KK351952,KK351952,
Scaffold168,KK351953,KK351953,
Scaffold169,KK351954,KK351954,
Scaffold170,KK351955,KK351955,
Scaffold171,KK351956,KK351956,
Scaffold172,KK351957,KK351957,
Scaffold173,KK351958,KK351958,
Scaffold174,KK351959,KK351959,
Scaffold175,KK351960,KK351960,
Scaffold176,KK351961,KK351961,
Scaffold177,KK351962,KK351962,
Scaffold178,KK351963,KK351963,
Scaffold179,KK351964,KK351964,
Scaffold180,KK351965,KK351965,
Scaffold181,KK351966,KK351966,
Scaffold182,KK351967,KK351967,
Scaffold183,KK351968,KK351968,
Scaffold184,KK351969,KK351969,
Scaffold185,KK351970,KK351970,
Scaffold186,KK351971,KK351971,
Scaffold187,KK351972,KK351972,
Scaffold188,KK351973,KK351973,
Scaffold189,KK351974,KK351974,
Scaffold190,KK351975,KK351975,
Scaffold191,KK351976,KK351976,
Scaffold192,KK351977,KK351977,
Scaffold193,KK351978,KK351978,
Scaffold194,KK351979,KK351979,
Scaffold195,KK351980,KK351980,
Scaffold196,KK351981,KK351981,
Scaffold197,KK351982,KK351982,
Scaffold198,KK351983,KK351983,
Scaffold199,KK351984,KK351984,
Scaffold200,KK351985,KK351985,
Scaffold201,KK351986,KK351986,
Scaffold202,KK351987,KK351987,
Scaffold203,KK351988,KK351988,
Scaffold204,KK351989,KK351989,
Scaffold205,KK351990,KK351990,
Scaffold206,KK351991,KK351991,
Scaffold207,KK351992,KK351992,
Scaffold208,KK351993,KK351993,
Scaffold209,KK351994,KK351994,
Scaffold210,KK351995,KK351995,
Scaffold211,KK351996,KK351996,
Scaffold212,KK351997,KK351997,
Scaffold213,JFJR01005037,JFJR01005037,
Scaffold214,KK351998,KK351998,
Scaffold215,KK351999,KK351999,
Scaffold216,KK352000,KK352000,
Scaffold217,KK352001,KK352001,
Scaffold218,KK352002,KK352002,
Scaffold219,KK352003,KK352003,
Scaffold220,KK352004,KK352004,
Scaffold221,KK352005,KK352005,
Scaffold222,KK352006,KK352006,
Scaffold223,KK352007,KK352007,
Scaffold224,KK352008,KK352008,
Scaffold225,KK352009,KK352009,
Scaffold226,KK352010,KK352010,
Scaffold227,KK352011,KK352011,
Scaffold228,KK352012,KK352012,
Scaffold229,KK352013,KK352013,
Scaffold230,KK352014,KK352014,
Scaffold231,KK352015,KK352015,
Scaffold232,KK352016,KK352016,
Scaffold233,KK352017,KK352017,
Scaffold234,KK352018,KK352018,
Scaffold235,KK352019,KK352019,
Scaffold236,KK352020,KK352020,
Scaffold237,KK352021,KK352021,
Scaffold238,KK352022,KK352022,
Scaffold239,KK352023,KK352023,
Scaffold240,KK352024,KK352024,
Scaffold241,KK352025,KK352025,
Scaffold242,KK352026,KK352026,
Scaffold243,KK352027,KK352027,
Scaffold244,KK352028,KK352028,
Scaffold245,KK352029,KK352029,
Scaffold246,KK352030,KK352030,
Scaffold247,KK352031,KK352031,
Scaffold248,KK352032,KK352032,
Scaffold249,KK352033,KK352033,
Scaffold250,KK352034,KK352034,
Scaffold251,KK352035,KK352035,
Scaffold252,KK352036,KK352036,
Scaffold253,KK352037,KK352037,
Scaffold254,KK352038,KK352038,
Scaffold255,KK352039,KK352039,
Scaffold256,KK352040,KK352040,
Scaffold257,KK352041,KK352041,
Scaffold258,KK352042,KK352042,
Scaffold259,KK352043,KK352043,
Scaffold260,KK352044,KK352044,
Scaffold261,KK352045,KK352045,
Scaffold262,KK352046,KK352046,
Scaffold263,KK352047,KK352047,
Scaffold264,KK352048,KK352048,
Scaffold265,KK352049,KK352049,
Scaffold266,KK352050,KK352050,
Scaffold267,KK352051,KK352051,
Scaffold268,KK352052,KK352052,
Scaffold269,KK352053,KK352053,
Scaffold270,KK352054,KK352054,
Scaffold271,KK352055,KK352055,
Scaffold272,KK352056,KK352056,
Scaffold273,KK352057,KK352057,
Scaffold274,KK352058,KK352058,
Scaffold275,KK352059,KK352059,
Scaffold276,KK352060,KK352060,
Scaffold277,KK352061,KK352061,
Scaffold278,KK352062,KK352062,
Scaffold279,KK352063,KK352063,
Scaffold280,KK352064,KK352064,
Scaffold281,KK352065,KK352065,
Scaffold282,KK352066,KK352066,
Scaffold283,KK352067,KK352067,
Scaffold284,KK352068,KK352068,
Scaffold285,KK352069,KK352069,
Scaffold286,KK352070,KK352070,
