current seq_region name,new seq_region name,INSDC accession,Notes
scf7180000652170,GmorY1_scf7180000652170,,
scf7180000652160,GmorY1_scf7180000652160,,
scf7180000651846,GmorY1_scf7180000651846,,
scf7180000652158,GmorY1_scf7180000652158,,
scf7180000651771,GmorY1_scf7180000651771,,
scf7180000652157,GmorY1_scf7180000652157,,
scf7180000652156,GmorY1_scf7180000652156,,
scf7180000652161,GmorY1_scf7180000652161,,
scf7180000652159,GmorY1_scf7180000652159,,
scf7180000651840,GmorY1_scf7180000651840,,
scf7180000652153,GmorY1_scf7180000652153,,
scf7180000650671,GmorY1_scf7180000650671,,
scf7180000651758,GmorY1_scf7180000651758,,
scf7180000652155,GmorY1_scf7180000652155,,
scf7180000651636,GmorY1_scf7180000651636,,
scf7180000651844,GmorY1_scf7180000651844,,
scf7180000652154,GmorY1_scf7180000652154,,
scf7180000652151,GmorY1_scf7180000652151,,
scf7180000652146,GmorY1_scf7180000652146,,
scf7180000652152,GmorY1_scf7180000652152,,
scf7180000652149,GmorY1_scf7180000652149,,
scf7180000651841,GmorY1_scf7180000651841,,
scf7180000652088,GmorY1_scf7180000652088,,
scf7180000652065,GmorY1_scf7180000652065,,
scf7180000652130,GmorY1_scf7180000652130,,
scf7180000648792,GmorY1_scf7180000648792,,
scf7180000647836,GmorY1_scf7180000647836,,
scf7180000652144,GmorY1_scf7180000652144,,
scf7180000650612,GmorY1_scf7180000650612,,
scf7180000651420,GmorY1_scf7180000651420,,
scf7180000650674,GmorY1_scf7180000650674,,
scf7180000652150,GmorY1_scf7180000652150,,
scf7180000644190,GmorY1_scf7180000644190,,
scf7180000642602,GmorY1_scf7180000642602,,
scf7180000651499,GmorY1_scf7180000651499,,
scf7180000650938,GmorY1_scf7180000650938,,
scf7180000651892,GmorY1_scf7180000651892,,
scf7180000651845,GmorY1_scf7180000651845,,
scf7180000652112,GmorY1_scf7180000652112,,
scf7180000651484,GmorY1_scf7180000651484,,
scf7180000650651,GmorY1_scf7180000650651,,
scf7180000643389,GmorY1_scf7180000643389,,
scf7180000651831,GmorY1_scf7180000651831,,
scf7180000646258,GmorY1_scf7180000646258,,
scf7180000642180,GmorY1_scf7180000642180,,
scf7180000640728,GmorY1_scf7180000640728,,
scf7180000650411,GmorY1_scf7180000650411,,
scf7180000650279,GmorY1_scf7180000650279,,
scf7180000650553,GmorY1_scf7180000650553,,
scf7180000641038,GmorY1_scf7180000641038,,
scf7180000640289,GmorY1_scf7180000640289,,
scf7180000644232,GmorY1_scf7180000644232,,
scf7180000642081,GmorY1_scf7180000642081,,
scf7180000649583,GmorY1_scf7180000649583,,
scf7180000651930,GmorY1_scf7180000651930,,
scf7180000648410,GmorY1_scf7180000648410,,
scf7180000651455,GmorY1_scf7180000651455,,
