current seq_region name,new seq_region name,INSDC accession,Notes
Scaffold0,KK499764,KK499764,
Scaffold1,KK499765,KK499765,
Scaffold2,KK499766,KK499766,
Scaffold3,KK499767,KK499767,
Scaffold4,KK499768,KK499768,
Scaffold5,KK499769,KK499769,
Scaffold6,KK499770,KK499770,
Scaffold7,KK499771,KK499771,
Scaffold8,KK499772,KK499772,
Scaffold9,KK499773,KK499773,
Scaffold10,KK499774,KK499774,
Scaffold11,KK499775,KK499775,
Scaffold12,KK499776,KK499776,
Scaffold13,KK499777,KK499777,
Scaffold14,KK499778,KK499778,
Scaffold15,KK499779,KK499779,
Scaffold16,KK499780,KK499780,
Scaffold17,KK499781,KK499781,
Scaffold18,KK499782,KK499782,
Scaffold19,KK499783,KK499783,
Scaffold20,KK499784,KK499784,
Scaffold21,KK499785,KK499785,
Scaffold22,KK499786,KK499786,
Scaffold23,KK499787,KK499787,
Scaffold24,KK499788,KK499788,
Scaffold25,KK499789,KK499789,
Scaffold26,KK499790,KK499790,
Scaffold27,KK499791,KK499791,
Scaffold28,KK499792,KK499792,
Scaffold29,KK499793,KK499793,
Scaffold30,KK499794,KK499794,
Scaffold31,KK499795,KK499795,
Scaffold32,KK499796,KK499796,
Scaffold33,KK499797,KK499797,
Scaffold34,KK499798,KK499798,
Scaffold35,KK499799,KK499799,
Scaffold36,KK499800,KK499800,
Scaffold37,KK499801,KK499801,
Scaffold38,KK499802,KK499802,
Scaffold39,KK499803,KK499803,
Scaffold40,KK499804,KK499804,
Scaffold41,KK499805,KK499805,
Scaffold42,KK499806,KK499806,
Scaffold43,KK499807,KK499807,
Scaffold44,KK499808,KK499808,
Scaffold45,KK499809,KK499809,
Scaffold46,KK499810,KK499810,
Scaffold47,KK499811,KK499811,
Scaffold48,KK499812,KK499812,
Scaffold49,KK499813,KK499813,
Scaffold50,KK499814,KK499814,
Scaffold51,KK499815,KK499815,
Scaffold52,KK499816,KK499816,
Scaffold53,KK499817,KK499817,
Scaffold54,KK499818,KK499818,
Scaffold55,KK499819,KK499819,
Scaffold56,KK499820,KK499820,
Scaffold57,KK499821,KK499821,
Scaffold58,KK499822,KK499822,
Scaffold59,KK499823,KK499823,
Scaffold60,KK499824,KK499824,
Scaffold61,KK499825,KK499825,
Scaffold62,KK499826,KK499826,
Scaffold63,KK499827,KK499827,
Scaffold64,KK499828,KK499828,
Scaffold65,KK499829,KK499829,
Scaffold66,KK499830,KK499830,
Scaffold67,KK499831,KK499831,
Scaffold68,KK499832,KK499832,
Scaffold69,KK499833,KK499833,
Scaffold70,KK499834,KK499834,
Scaffold71,KK499835,KK499835,
Scaffold72,KK499836,KK499836,
Scaffold73,KK499837,KK499837,
Scaffold74,KK499838,KK499838,
Scaffold75,KK499839,KK499839,
Scaffold76,KK499840,KK499840,
Scaffold77,KK499841,KK499841,
Scaffold78,KK499842,KK499842,
Scaffold79,KK499843,KK499843,
Scaffold80,KK499844,KK499844,
Scaffold81,KK499845,KK499845,
Scaffold82,KK499846,KK499846,
Scaffold83,KK499847,KK499847,
Scaffold84,KK499848,KK499848,
Scaffold85,KK499849,KK499849,
Scaffold86,KK499850,KK499850,
Scaffold87,KK499851,KK499851,
Scaffold88,KK499852,KK499852,
Scaffold89,KK499853,KK499853,
Scaffold90,KK499854,KK499854,
Scaffold91,KK499855,KK499855,
Scaffold92,KK499856,KK499856,
Scaffold93,KK499857,KK499857,
Scaffold94,KK499858,KK499858,
Scaffold95,KK499859,KK499859,
Scaffold96,KK499860,KK499860,
Scaffold97,KK499861,KK499861,
Scaffold98,KK499862,KK499862,
Scaffold99,KK499863,KK499863,
Scaffold100,KK499864,KK499864,
Scaffold101,KK499865,KK499865,
Scaffold102,KK499866,KK499866,
Scaffold103,KK499867,KK499867,
Scaffold104,KK499868,KK499868,
Scaffold105,KK499869,KK499869,
Scaffold106,KK499870,KK499870,
Scaffold107,KK499871,KK499871,
Scaffold108,KK499872,KK499872,
Scaffold109,KK499873,KK499873,
Scaffold110,KK499874,KK499874,
Scaffold111,KK499875,KK499875,
Scaffold112,KK499876,KK499876,
Scaffold113,KK499877,KK499877,
Scaffold114,KK499878,KK499878,
Scaffold115,KK499879,KK499879,
Scaffold116,KK499880,KK499880,
Scaffold117,KK499881,KK499881,
Scaffold118,KK499882,KK499882,
Scaffold119,KK499883,KK499883,
Scaffold120,KK499884,KK499884,
Scaffold121,KK499885,KK499885,
Scaffold122,KK499886,KK499886,
Scaffold123,KK499887,KK499887,
Scaffold124,KK499888,KK499888,
Scaffold125,KK499889,KK499889,
Scaffold126,KK499890,KK499890,
Scaffold127,KK499891,KK499891,
Scaffold128,KK499892,KK499892,
Scaffold129,KK499893,KK499893,
Scaffold130,KK499894,KK499894,
Scaffold131,KK499895,KK499895,
Scaffold132,KK499896,KK499896,
Scaffold133,KK499897,KK499897,
Scaffold134,KK499898,KK499898,
Scaffold135,KK499899,KK499899,
Scaffold136,KK499900,KK499900,
Scaffold137,KK499901,KK499901,
Scaffold138,KK499902,KK499902,
Scaffold139,KK499903,KK499903,
Scaffold140,KK499904,KK499904,
Scaffold141,KK499905,KK499905,
Scaffold142,KK499906,KK499906,
Scaffold143,KK499907,KK499907,
Scaffold144,JMRQ01002017,JMRQ01002017,
Scaffold145,KK499908,KK499908,
Scaffold146,KK499909,KK499909,
Scaffold147,KK499910,KK499910,
Scaffold148,KK499911,KK499911,
Scaffold149,KK499912,KK499912,
Scaffold150,KK499913,KK499913,
Scaffold151,KK499914,KK499914,
Scaffold152,KK499915,KK499915,
Scaffold153,KK499916,KK499916,
Scaffold154,KK499917,KK499917,
Scaffold155,JMRQ01002108,JMRQ01002108,
Scaffold156,KK499918,KK499918,
Scaffold157,KK499919,KK499919,
Scaffold158,KK499920,KK499920,
Scaffold159,KK499921,KK499921,
Scaffold160,KK499922,KK499922,
Scaffold161,KK499923,KK499923,
Scaffold162,KK499924,KK499924,
Scaffold163,KK499925,KK499925,
Scaffold164,KK499926,KK499926,
Scaffold165,KK499927,KK499927,
Scaffold166,KK499928,KK499928,
