current seq_region name,new seq_region name,INSDC accession,Notes
Scaffold0,KN796171,KN796171,
Scaffold1,KN796172,KN796172,
Scaffold2,KN796173,KN796173,
Scaffold3,KN796174,KN796174,
Scaffold4,KN796175,KN796175,
Scaffold5,KN796176,KN796176,
Scaffold6,KN796177,KN796177,
Scaffold7,KN796178,KN796178,
Scaffold8,KN796179,KN796179,
Scaffold9,KN796180,KN796180,
Scaffold10,KN796181,KN796181,
Scaffold11,KN796182,KN796182,
Scaffold12,KN796183,KN796183,
Scaffold13,KN796184,KN796184,
Scaffold14,KN796185,KN796185,
Scaffold15,KN796186,KN796186,
Scaffold16,KN796187,KN796187,
Scaffold17,KN796188,KN796188,
Scaffold18,KN796189,KN796189,
Scaffold19,KN796190,KN796190,
Scaffold20,KN796191,KN796191,
Scaffold21,KN796192,KN796192,
Scaffold22,KN796193,KN796193,
Scaffold23,KN796194,KN796194,
Scaffold24,KN796195,KN796195,
Scaffold25,KN796196,KN796196,
Scaffold26,KN796197,KN796197,
Scaffold27,KN796198,KN796198,
Scaffold28,KN796199,KN796199,
Scaffold29,KN796200,KN796200,
Scaffold30,KN796201,KN796201,
Scaffold31,KN796202,KN796202,
Scaffold32,KN796203,KN796203,
Scaffold33,KN796204,KN796204,
Scaffold34,KN796205,KN796205,
Scaffold35,KN796206,KN796206,
Scaffold36,KN796207,KN796207,
Scaffold37,KN796208,KN796208,
Scaffold38,KN796209,KN796209,
Scaffold39,KN796210,KN796210,
Scaffold40,KN796211,KN796211,
Scaffold41,KN796212,KN796212,
Scaffold42,KN796213,KN796213,
Scaffold43,KN796214,KN796214,
Scaffold44,KN796215,KN796215,
Scaffold45,KN796216,KN796216,
Scaffold46,KN796217,KN796217,
Scaffold47,KN796218,KN796218,
Scaffold48,KN796219,KN796219,
Scaffold49,KN796220,KN796220,
Scaffold50,KN796221,KN796221,
Scaffold51,KN796222,KN796222,
Scaffold52,KN796223,KN796223,
Scaffold53,KN796224,KN796224,
Scaffold54,KN796225,KN796225,
Scaffold55,KN796226,KN796226,
Scaffold56,KN796227,KN796227,
Scaffold57,KN796228,KN796228,
Scaffold58,KN796229,KN796229,
Scaffold59,KN796230,KN796230,
Scaffold60,KN796231,KN796231,
Scaffold61,KN796232,KN796232,
Scaffold62,KN796233,KN796233,
Scaffold63,KN796234,KN796234,
Scaffold64,KN796235,KN796235,
Scaffold65,KN796236,KN796236,
Scaffold66,KN796237,KN796237,
Scaffold67,KN796238,KN796238,
Scaffold68,KN796239,KN796239,
Scaffold69,KN796240,KN796240,
Scaffold70,KN796241,KN796241,
Scaffold71,KN796242,KN796242,
Scaffold72,KN796243,KN796243,
Scaffold73,KN796244,KN796244,
Scaffold74,KN796245,KN796245,
Scaffold75,KN796246,KN796246,
Scaffold76,KN796247,KN796247,
Scaffold77,KN796248,KN796248,
Scaffold78,KN796249,KN796249,
Scaffold79,KN796250,KN796250,
Scaffold80,KN796251,KN796251,
Scaffold81,KN796252,KN796252,
Scaffold82,KN796253,KN796253,
Scaffold83,KN796254,KN796254,
Scaffold84,KN796255,KN796255,
Scaffold85,KN796256,KN796256,
Scaffold86,KN796257,KN796257,
Scaffold87,KN796258,KN796258,
Scaffold88,KN796259,KN796259,
Scaffold89,KN796260,KN796260,
Scaffold90,KN796261,KN796261,
Scaffold91,KN796262,KN796262,
Scaffold92,KN796263,KN796263,
Scaffold93,KN796264,KN796264,
Scaffold94,KN796265,KN796265,
Scaffold95,KN796266,KN796266,
Scaffold96,KN796267,KN796267,
Scaffold97,KN796268,KN796268,
