current seq_region name,new seq_region name,INSDC accession,Notes
Scaffold1,JH689321,JH689321,
Scaffold2,JH689322,JH689322,
Scaffold3,JH689323,JH689323,
Scaffold4,JH689324,JH689324,
Scaffold5,JH689325,JH689325,
Scaffold6,JH689326,JH689326,
Scaffold7,JH689327,JH689327,
Scaffold8,JH689328,JH689328,
Scaffold9,JH689329,JH689329,
Scaffold10,JH689330,JH689330,
Scaffold11,JH689331,JH689331,
Scaffold12,JH689332,JH689332,
Scaffold13,JH689333,JH689333,
Scaffold14,JH689334,JH689334,
Scaffold15,JH689335,JH689335,
Scaffold16,JH689336,JH689336,
Scaffold17,JH689337,JH689337,
Scaffold18,JH689338,JH689338,
Scaffold19,JH689339,JH689339,
Scaffold20,JH689340,JH689340,
Scaffold21,JH689341,JH689341,
Scaffold22,JH689342,JH689342,
Scaffold23,JH689343,JH689343,
Scaffold24,JH689344,JH689344,
Scaffold25,JH689345,JH689345,
Scaffold26,JH689346,JH689346,
Scaffold27,JH689347,JH689347,
Scaffold28,JH689348,JH689348,
Scaffold29,JH689349,JH689349,
Scaffold30,JH689350,JH689350,
Scaffold31,JH689351,JH689351,
Scaffold32,JH689352,JH689352,
Scaffold33,JH689353,JH689353,
Scaffold34,JH689354,JH689354,
Scaffold35,JH689355,JH689355,
Scaffold36,JH689356,JH689356,
Scaffold37,JH689357,JH689357,
Scaffold38,JH689358,JH689358,
Scaffold39,JH689359,JH689359,
Scaffold40,JH689360,JH689360,
Scaffold41,JH689361,JH689361,
Scaffold42,JH689362,JH689362,
Scaffold43,JH689363,JH689363,
Scaffold44,JH689364,JH689364,
Scaffold45,JH689365,JH689365,
Scaffold46,JH689366,JH689366,
Scaffold47,JH689367,JH689367,
Scaffold48,JH689368,JH689368,
Scaffold49,JH689369,JH689369,
Scaffold50,JH689370,JH689370,
Scaffold51,JH689371,JH689371,
Scaffold52,JH689372,JH689372,
Scaffold53,JH689373,JH689373,
Scaffold54,JH689374,JH689374,
Scaffold55,JH689375,JH689375,
Scaffold56,JH689376,JH689376,
Scaffold57,JH689377,JH689377,
Scaffold58,JH689378,JH689378,
Scaffold59,JH689379,JH689379,
Scaffold60,JH689380,JH689380,
Scaffold61,JH689381,JH689381,
Scaffold62,JH689382,JH689382,
Scaffold63,JH689383,JH689383,
Scaffold64,JH689384,JH689384,
Scaffold65,JH689385,JH689385,
Scaffold66,JH689386,JH689386,
Scaffold67,JH689387,JH689387,
Scaffold68,JH689388,JH689388,
Scaffold69,JH689389,JH689389,
Scaffold70,JH689390,JH689390,
Scaffold71,JH689391,JH689391,
Scaffold72,JH689392,JH689392,
Scaffold73,JH689393,JH689393,
Scaffold74,JH689394,JH689394,
Scaffold75,JH689395,JH689395,
Scaffold76,JH689396,JH689396,
Scaffold77,JH689397,JH689397,
Scaffold78,JH689398,JH689398,
Scaffold79,JH689399,JH689399,
Scaffold80,JH689400,JH689400,
Scaffold81,JH689401,JH689401,
Scaffold82,JH689402,JH689402,
Scaffold83,JH689403,JH689403,
Scaffold84,JH689404,JH689404,
Scaffold85,JH689405,JH689405,
Scaffold86,JH689406,JH689406,
Scaffold87,JH689407,JH689407,
Scaffold88,JH689408,JH689408,
Scaffold89,JH689409,JH689409,
Scaffold90,JH689410,JH689410,
Scaffold91,JH689411,JH689411,
Scaffold92,JH689412,JH689412,
Scaffold93,JH689413,JH689413,
Scaffold94,JH689414,JH689414,
Scaffold95,JH689415,JH689415,
Scaffold96,JH689416,JH689416,
Scaffold97,JH689417,JH689417,
Scaffold98,JH689418,JH689418,
Scaffold99,JH689419,JH689419,
Scaffold100,JH689420,JH689420,
Scaffold101,JH689421,JH689421,
Scaffold102,JH689422,JH689422,
Scaffold103,JH689423,JH689423,
Scaffold104,JH689424,JH689424,
Scaffold105,JH689425,JH689425,
Scaffold106,JH689426,JH689426,
Scaffold107,JH689427,JH689427,
Scaffold108,JH689428,JH689428,
Scaffold109,JH689429,JH689429,
Scaffold110,JH689430,JH689430,
Scaffold111,JH689431,JH689431,
Scaffold112,JH689432,JH689432,
Scaffold113,JH689433,JH689433,
Scaffold114,JH689434,JH689434,
Scaffold115,JH689435,JH689435,
Scaffold116,JH689436,JH689436,
Scaffold117,JH689437,JH689437,
Scaffold118,JH689438,JH689438,
Scaffold119,JH689439,JH689439,
Scaffold120,JH689440,JH689440,
Scaffold121,JH689441,JH689441,
Scaffold122,JH689442,JH689442,
Scaffold123,JH689443,JH689443,
Scaffold124,JH689444,JH689444,
Scaffold125,JH689445,JH689445,
Scaffold126,JH689446,JH689446,
Scaffold127,JH689447,JH689447,
Scaffold128,JH689448,JH689448,
Scaffold129,JH689449,JH689449,
Scaffold130,JH689450,JH689450,
Scaffold131,JH689451,JH689451,
Scaffold132,JH689452,JH689452,
Scaffold133,JH689453,JH689453,
Scaffold134,JH689454,JH689454,
Scaffold135,JH689455,JH689455,
Scaffold136,JH689456,JH689456,
Scaffold137,JH689457,JH689457,
Scaffold138,JH689458,JH689458,
Scaffold139,JH689459,JH689459,
Scaffold140,JH689460,JH689460,
Scaffold141,JH689461,JH689461,
Scaffold142,JH689462,JH689462,
Scaffold143,JH689463,JH689463,
Scaffold144,JH689464,JH689464,
Scaffold145,JH689465,JH689465,
Scaffold146,JH689466,JH689466,
Scaffold147,JH689467,JH689467,
Scaffold148,JH689468,JH689468,
Scaffold149,JH689469,JH689469,
Scaffold150,JH689470,JH689470,
Scaffold151,JH689471,JH689471,
Scaffold152,JH689472,JH689472,
Scaffold153,JH689473,JH689473,
Scaffold154,JH689474,JH689474,
Scaffold155,JH689475,JH689475,
Scaffold156,JH689476,JH689476,
Scaffold157,JH689477,JH689477,
Scaffold158,JH689478,JH689478,
