current seq_region name,new seq_region name,INSDC accession,Notes
Scaffold0,KB854187,KB854187,
Scaffold1,KB854188,KB854188,
Scaffold10,KB854189,KB854189,
Scaffold100,KB854190,KB854190,
Scaffold1000,KB854191,KB854191,
Scaffold10000,AQPM01039572,AQPM01039572,
Scaffold10001,AQPM01039573,AQPM01039573,
Scaffold10002,AQPM01039574,AQPM01039574,
Scaffold10003,AQPM01039575,AQPM01039575,
Scaffold10004,AQPM01039576,AQPM01039576,
Scaffold10005,AQPM01039577,AQPM01039577,
Scaffold10006,AQPM01039578,AQPM01039578,
Scaffold10007,AQPM01039579,AQPM01039579,
Scaffold10008,AQPM01039580,AQPM01039580,
Scaffold10009,AQPM01039581,AQPM01039581,
Scaffold1001,KB854192,KB854192,
Scaffold10010,AQPM01039582,AQPM01039582,
Scaffold10011,AQPM01039583,AQPM01039583,
Scaffold10012,AQPM01039584,AQPM01039584,
Scaffold10013,AQPM01039585,AQPM01039585,
Scaffold10014,AQPM01039586,AQPM01039586,
Scaffold10015,AQPM01039587,AQPM01039587,
Scaffold10016,AQPM01039588,AQPM01039588,
Scaffold10017,AQPM01039589,AQPM01039589,
Scaffold10018,AQPM01039590,AQPM01039590,
Scaffold10019,AQPM01039591,AQPM01039591,
Scaffold1002,KB854193,KB854193,
Scaffold10020,AQPM01039592,AQPM01039592,
Scaffold10021,AQPM01039593,AQPM01039593,
Scaffold10022,AQPM01039594,AQPM01039594,
Scaffold10023,AQPM01039595,AQPM01039595,
Scaffold10024,AQPM01039596,AQPM01039596,
Scaffold10025,AQPM01039597,AQPM01039597,
Scaffold10026,AQPM01039598,AQPM01039598,
Scaffold10027,AQPM01039599,AQPM01039599,
Scaffold10028,AQPM01039600,AQPM01039600,
Scaffold10029,AQPM01039601,AQPM01039601,
Scaffold1003,KB854194,KB854194,
Scaffold10030,AQPM01039602,AQPM01039602,
Scaffold10031,AQPM01039603,AQPM01039603,
Scaffold10032,AQPM01039604,AQPM01039604,
Scaffold10033,AQPM01039605,AQPM01039605,
Scaffold10034,AQPM01039606,AQPM01039606,
Scaffold10035,AQPM01039607,AQPM01039607,
Scaffold10036,AQPM01039608,AQPM01039608,
Scaffold10037,AQPM01039609,AQPM01039609,
Scaffold10038,AQPM01039610,AQPM01039610,
Scaffold10039,AQPM01039611,AQPM01039611,
Scaffold1004,KB854195,KB854195,
Scaffold10040,AQPM01039612,AQPM01039612,
Scaffold10041,AQPM01039613,AQPM01039613,
Scaffold10042,AQPM01039614,AQPM01039614,
Scaffold10043,AQPM01039615,AQPM01039615,
Scaffold10044,AQPM01039616,AQPM01039616,
Scaffold10045,AQPM01039617,AQPM01039617,
Scaffold10046,AQPM01039618,AQPM01039618,
Scaffold10047,AQPM01039619,AQPM01039619,
Scaffold10048,AQPM01039620,AQPM01039620,
Scaffold10049,AQPM01039621,AQPM01039621,
Scaffold1005,KB854196,KB854196,
Scaffold10050,AQPM01039622,AQPM01039622,
Scaffold10051,AQPM01039623,AQPM01039623,
Scaffold10052,AQPM01039624,AQPM01039624,
Scaffold10053,AQPM01039625,AQPM01039625,
Scaffold10054,AQPM01039626,AQPM01039626,
Scaffold10055,AQPM01039627,AQPM01039627,
Scaffold10056,AQPM01039628,AQPM01039628,
Scaffold10057,AQPM01039629,AQPM01039629,
Scaffold10058,AQPM01039630,AQPM01039630,
Scaffold10059,AQPM01039631,AQPM01039631,
Scaffold1006,KB854197,KB854197,
Scaffold10060,AQPM01039632,AQPM01039632,
Scaffold10061,AQPM01039633,AQPM01039633,
Scaffold10062,AQPM01039634,AQPM01039634,
Scaffold10063,AQPM01039635,AQPM01039635,
Scaffold10064,AQPM01039636,AQPM01039636,
Scaffold10065,AQPM01039637,AQPM01039637,
Scaffold10066,AQPM01039638,AQPM01039638,
Scaffold10067,AQPM01039639,AQPM01039639,
Scaffold10068,AQPM01039640,AQPM01039640,
Scaffold10069,AQPM01039641,AQPM01039641,
Scaffold1007,KB854198,KB854198,
Scaffold10070,AQPM01039642,AQPM01039642,
Scaffold10071,AQPM01039643,AQPM01039643,
Scaffold10072,AQPM01039644,AQPM01039644,
Scaffold10073,AQPM01039645,AQPM01039645,
Scaffold10074,AQPM01039646,AQPM01039646,
Scaffold10075,AQPM01039647,AQPM01039647,
Scaffold10076,AQPM01039648,AQPM01039648,
Scaffold10077,AQPM01039649,AQPM01039649,
Scaffold10078,AQPM01039650,AQPM01039650,
Scaffold10079,AQPM01039651,AQPM01039651,
Scaffold1008,KB854199,KB854199,
Scaffold10080,AQPM01039652,AQPM01039652,
Scaffold10081,AQPM01039653,AQPM01039653,
Scaffold10082,AQPM01039654,AQPM01039654,
Scaffold10083,AQPM01039655,AQPM01039655,
Scaffold10084,AQPM01039656,AQPM01039656,
Scaffold10085,AQPM01039657,AQPM01039657,
Scaffold10086,AQPM01039658,AQPM01039658,
Scaffold10087,AQPM01039659,AQPM01039659,
Scaffold10088,AQPM01039660,AQPM01039660,
Scaffold10089,AQPM01039661,AQPM01039661,
Scaffold1009,KB854200,KB854200,
Scaffold10090,AQPM01039662,AQPM01039662,
Scaffold10091,AQPM01039663,AQPM01039663,
Scaffold10092,AQPM01039664,AQPM01039664,
Scaffold10093,AQPM01039665,AQPM01039665,
Scaffold10094,AQPM01039666,AQPM01039666,
Scaffold10095,AQPM01039667,AQPM01039667,
Scaffold10096,AQPM01039668,AQPM01039668,
Scaffold10097,AQPM01039669,AQPM01039669,
Scaffold10098,AQPM01039670,AQPM01039670,
Scaffold10099,AQPM01039671,AQPM01039671,
Scaffold101,KB854201,KB854201,
Scaffold1010,KB854202,KB854202,
Scaffold10100,AQPM01039672,AQPM01039672,
Scaffold10101,AQPM01039673,AQPM01039673,
Scaffold10102,AQPM01039674,AQPM01039674,
Scaffold10103,AQPM01039675,AQPM01039675,
Scaffold10104,AQPM01039676,AQPM01039676,
Scaffold10105,AQPM01039677,AQPM01039677,
Scaffold10106,AQPM01039678,AQPM01039678,
Scaffold10107,AQPM01039679,AQPM01039679,
Scaffold10108,AQPM01039680,AQPM01039680,
Scaffold10109,AQPM01039681,AQPM01039681,
Scaffold1011,KB854203,KB854203,
Scaffold10110,AQPM01039682,AQPM01039682,
Scaffold10111,AQPM01039683,AQPM01039683,
Scaffold10112,AQPM01039684,AQPM01039684,
Scaffold10113,AQPM01039685,AQPM01039685,
Scaffold10114,AQPM01039686,AQPM01039686,
Scaffold10115,AQPM01039687,AQPM01039687,
Scaffold10116,AQPM01039688,AQPM01039688,
Scaffold10117,AQPM01039689,AQPM01039689,
Scaffold10118,AQPM01039690,AQPM01039690,
Scaffold10119,AQPM01039691,AQPM01039691,
Scaffold1012,KB854204,KB854204,
Scaffold10120,AQPM01039692,AQPM01039692,
Scaffold10121,AQPM01039693,AQPM01039693,
Scaffold10122,AQPM01039694,AQPM01039694,
Scaffold10123,AQPM01039695,AQPM01039695,
Scaffold10124,AQPM01039696,AQPM01039696,
Scaffold10125,AQPM01039697,AQPM01039697,
Scaffold10126,AQPM01039698,AQPM01039698,
Scaffold10127,AQPM01039699,AQPM01039699,
Scaffold10128,AQPM01039700,AQPM01039700,
Scaffold10129,AQPM01039701,AQPM01039701,
Scaffold1013,KB854205,KB854205,
Scaffold10130,AQPM01039702,AQPM01039702,
Scaffold10131,AQPM01039703,AQPM01039703,
Scaffold10132,AQPM01039704,AQPM01039704,
Scaffold10133,AQPM01039705,AQPM01039705,
Scaffold10134,AQPM01039706,AQPM01039706,
Scaffold10135,AQPM01039707,AQPM01039707,
Scaffold10136,AQPM01039708,AQPM01039708,
Scaffold10137,AQPM01039709,AQPM01039709,
Scaffold10138,AQPM01039710,AQPM01039710,
Scaffold10139,AQPM01039711,AQPM01039711,
Scaffold1014,KB854206,KB854206,
Scaffold10140,AQPM01039712,AQPM01039712,
Scaffold10141,AQPM01039713,AQPM01039713,
Scaffold10142,AQPM01039714,AQPM01039714,
Scaffold10143,AQPM01039715,AQPM01039715,
Scaffold10144,AQPM01039716,AQPM01039716,
Scaffold10145,AQPM01039717,AQPM01039717,
Scaffold10146,AQPM01039718,AQPM01039718,
