current seq_region name,new seq_region name,INSDC accession,Notes
Mt,SscaA1_Mt,JXLN01000001,
JXLN01000002,JXLN01000002,JXLN01000002,
JXLN01000003,JXLN01000003,JXLN01000003,
JXLN01000004,JXLN01000004,JXLN01000004,
JXLN01000005,JXLN01000005,JXLN01000005,
JXLN01000006,JXLN01000006,JXLN01000006,
JXLN01000007,JXLN01000007,JXLN01000007,
JXLN01000008,JXLN01000008,JXLN01000008,
JXLN01000009,JXLN01000009,JXLN01000009,
JXLN01000010,JXLN01000010,JXLN01000010,
JXLN01000011,JXLN01000011,JXLN01000011,
JXLN01000012,JXLN01000012,JXLN01000012,
JXLN01000013,JXLN01000013,JXLN01000013,
JXLN01000014,JXLN01000014,JXLN01000014,
JXLN01000015,JXLN01000015,JXLN01000015,
JXLN01000016,JXLN01000016,JXLN01000016,
JXLN01000017,JXLN01000017,JXLN01000017,
JXLN01000018,JXLN01000018,JXLN01000018,
JXLN01000019,JXLN01000019,JXLN01000019,
JXLN01000020,JXLN01000020,JXLN01000020,
JXLN01000021,JXLN01000021,JXLN01000021,
JXLN01000022,JXLN01000022,JXLN01000022,
JXLN01000023,JXLN01000023,JXLN01000023,
JXLN01000024,JXLN01000024,JXLN01000024,
JXLN01000025,JXLN01000025,JXLN01000025,
JXLN01000026,JXLN01000026,JXLN01000026,
JXLN01000027,JXLN01000027,JXLN01000027,
JXLN01000028,JXLN01000028,JXLN01000028,
JXLN01000029,JXLN01000029,JXLN01000029,
JXLN01000030,JXLN01000030,JXLN01000030,
JXLN01000031,JXLN01000031,JXLN01000031,
JXLN01000032,JXLN01000032,JXLN01000032,
JXLN01000033,JXLN01000033,JXLN01000033,
JXLN01000034,JXLN01000034,JXLN01000034,
JXLN01000035,JXLN01000035,JXLN01000035,
JXLN01000036,JXLN01000036,JXLN01000036,
JXLN01000037,JXLN01000037,JXLN01000037,
JXLN01000038,JXLN01000038,JXLN01000038,
JXLN01000039,JXLN01000039,JXLN01000039,
JXLN01000040,JXLN01000040,JXLN01000040,
JXLN01000041,JXLN01000041,JXLN01000041,
JXLN01000042,JXLN01000042,JXLN01000042,
JXLN01000043,JXLN01000043,JXLN01000043,
JXLN01000044,JXLN01000044,JXLN01000044,
JXLN01000045,JXLN01000045,JXLN01000045,
JXLN01000046,JXLN01000046,JXLN01000046,
JXLN01000047,JXLN01000047,JXLN01000047,
JXLN01000048,JXLN01000048,JXLN01000048,
JXLN01000049,JXLN01000049,JXLN01000049,
JXLN01000050,JXLN01000050,JXLN01000050,
JXLN01000051,JXLN01000051,JXLN01000051,
JXLN01000052,JXLN01000052,JXLN01000052,
JXLN01000053,JXLN01000053,JXLN01000053,
JXLN01000054,JXLN01000054,JXLN01000054,
JXLN01000055,JXLN01000055,JXLN01000055,
JXLN01000056,JXLN01000056,JXLN01000056,
JXLN01000057,JXLN01000057,JXLN01000057,
JXLN01000058,JXLN01000058,JXLN01000058,
JXLN01000059,JXLN01000059,JXLN01000059,
JXLN01000060,JXLN01000060,JXLN01000060,
JXLN01000061,JXLN01000061,JXLN01000061,
JXLN01000062,JXLN01000062,JXLN01000062,
JXLN01000063,JXLN01000063,JXLN01000063,
JXLN01000064,JXLN01000064,JXLN01000064,
JXLN01000065,JXLN01000065,JXLN01000065,
JXLN01000066,JXLN01000066,JXLN01000066,
JXLN01000067,JXLN01000067,JXLN01000067,
JXLN01000068,JXLN01000068,JXLN01000068,
JXLN01000069,JXLN01000069,JXLN01000069,
JXLN01000070,JXLN01000070,JXLN01000070,
JXLN01000071,JXLN01000071,JXLN01000071,
JXLN01000072,JXLN01000072,JXLN01000072,
JXLN01000073,JXLN01000073,JXLN01000073,
JXLN01000074,JXLN01000074,JXLN01000074,
JXLN01000075,JXLN01000075,JXLN01000075,
JXLN01000076,JXLN01000076,JXLN01000076,
JXLN01000077,JXLN01000077,JXLN01000077,
JXLN01000078,JXLN01000078,JXLN01000078,
JXLN01000079,JXLN01000079,JXLN01000079,
JXLN01000080,JXLN01000080,JXLN01000080,
JXLN01000081,JXLN01000081,JXLN01000081,
JXLN01000082,JXLN01000082,JXLN01000082,
JXLN01000083,JXLN01000083,JXLN01000083,
JXLN01000084,JXLN01000084,JXLN01000084,
JXLN01000085,JXLN01000085,JXLN01000085,
JXLN01000086,JXLN01000086,JXLN01000086,
JXLN01000087,JXLN01000087,JXLN01000087,
JXLN01000088,JXLN01000088,JXLN01000088,
JXLN01000089,JXLN01000089,JXLN01000089,
JXLN01000090,JXLN01000090,JXLN01000090,
JXLN01000091,JXLN01000091,JXLN01000091,
JXLN01000092,JXLN01000092,JXLN01000092,
JXLN01000093,JXLN01000093,JXLN01000093,
JXLN01000094,JXLN01000094,JXLN01000094,
JXLN01000095,JXLN01000095,JXLN01000095,
JXLN01000096,JXLN01000096,JXLN01000096,
JXLN01000097,JXLN01000097,JXLN01000097,
JXLN01000098,JXLN01000098,JXLN01000098,
JXLN01000099,JXLN01000099,JXLN01000099,
JXLN01000100,JXLN01000100,JXLN01000100,
JXLN01000101,JXLN01000101,JXLN01000101,
JXLN01000102,JXLN01000102,JXLN01000102,
JXLN01000103,JXLN01000103,JXLN01000103,
JXLN01000104,JXLN01000104,JXLN01000104,
JXLN01000105,JXLN01000105,JXLN01000105,
JXLN01000106,JXLN01000106,JXLN01000106,
JXLN01000107,JXLN01000107,JXLN01000107,
JXLN01000108,JXLN01000108,JXLN01000108,
JXLN01000109,JXLN01000109,JXLN01000109,
JXLN01000110,JXLN01000110,JXLN01000110,
JXLN01000111,JXLN01000111,JXLN01000111,
JXLN01000112,JXLN01000112,JXLN01000112,
JXLN01000113,JXLN01000113,JXLN01000113,
JXLN01000114,JXLN01000114,JXLN01000114,
JXLN01000115,JXLN01000115,JXLN01000115,
JXLN01000116,JXLN01000116,JXLN01000116,
JXLN01000117,JXLN01000117,JXLN01000117,
JXLN01000118,JXLN01000118,JXLN01000118,
JXLN01000119,JXLN01000119,JXLN01000119,
JXLN01000120,JXLN01000120,JXLN01000120,
JXLN01000121,JXLN01000121,JXLN01000121,
JXLN01000122,JXLN01000122,JXLN01000122,
JXLN01000123,JXLN01000123,JXLN01000123,
JXLN01000124,JXLN01000124,JXLN01000124,
JXLN01000125,JXLN01000125,JXLN01000125,
JXLN01000126,JXLN01000126,JXLN01000126,
JXLN01000127,JXLN01000127,JXLN01000127,
JXLN01000128,JXLN01000128,JXLN01000128,
JXLN01000129,JXLN01000129,JXLN01000129,
JXLN01000130,JXLN01000130,JXLN01000130,
JXLN01000131,JXLN01000131,JXLN01000131,
JXLN01000132,JXLN01000132,JXLN01000132,
JXLN01000133,JXLN01000133,JXLN01000133,
JXLN01000134,JXLN01000134,JXLN01000134,
JXLN01000135,JXLN01000135,JXLN01000135,
JXLN01000136,JXLN01000136,JXLN01000136,
JXLN01000137,JXLN01000137,JXLN01000137,
JXLN01000138,JXLN01000138,JXLN01000138,
JXLN01000139,JXLN01000139,JXLN01000139,
JXLN01000140,JXLN01000140,JXLN01000140,
JXLN01000141,JXLN01000141,JXLN01000141,
JXLN01000142,JXLN01000142,JXLN01000142,
JXLN01000143,JXLN01000143,JXLN01000143,
JXLN01000144,JXLN01000144,JXLN01000144,
JXLN01000145,JXLN01000145,JXLN01000145,
JXLN01000146,JXLN01000146,JXLN01000146,
JXLN01000147,JXLN01000147,JXLN01000147,
JXLN01000148,JXLN01000148,JXLN01000148,
JXLN01000149,JXLN01000149,JXLN01000149,
JXLN01000150,JXLN01000150,JXLN01000150,
JXLN01000151,JXLN01000151,JXLN01000151,
JXLN01000152,JXLN01000152,JXLN01000152,
JXLN01000153,JXLN01000153,JXLN01000153,
JXLN01000154,JXLN01000154,JXLN01000154,
JXLN01000155,JXLN01000155,JXLN01000155,
JXLN01000156,JXLN01000156,JXLN01000156,
JXLN01000157,JXLN01000157,JXLN01000157,
JXLN01000158,JXLN01000158,JXLN01000158,
JXLN01000159,JXLN01000159,JXLN01000159,
JXLN01000160,JXLN01000160,JXLN01000160,
JXLN01000161,JXLN01000161,JXLN01000161,
JXLN01000162,JXLN01000162,JXLN01000162,
JXLN01000163,JXLN01000163,JXLN01000163,
JXLN01000164,JXLN01000164,JXLN01000164,
JXLN01000165,JXLN01000165,JXLN01000165,
JXLN01000166,JXLN01000166,JXLN01000166,
JXLN01000167,JXLN01000167,JXLN01000167,
JXLN01000168,JXLN01000168,JXLN01000168,
JXLN01000169,JXLN01000169,JXLN01000169,
JXLN01000170,JXLN01000170,JXLN01000170,
JXLN01000171,JXLN01000171,JXLN01000171,
JXLN01000172,JXLN01000172,JXLN01000172,
JXLN01000173,JXLN01000173,JXLN01000173,
JXLN01000174,JXLN01000174,JXLN01000174,
JXLN01000175,JXLN01000175,JXLN01000175,
JXLN01000176,JXLN01000176,JXLN01000176,
